qcode	tcode	eq	sr	so	bscore	seqi	rmsdp	qlabel	tlabel	ss
A0A432MM10_M	A0A432MM10_M	425	1.000	1.000	234.00	100.00	0.00	A0A432MM10-M	A0A432MM10-M	DSSP
A0A432MM10_C	A0A142YCA6_N	248	0.628	0.658	158.39	13.71	2.05	A0A432MM10-C	A0A142YCA6	KAKSI
A0A432MM10_C	F5YE54_N	238	0.652	0.748	168.03	15.55	1.95	A0A432MM10-C	F5YE54	DSSP
A0A432MM10_C	A0A225E1Q9_N	122	0.332	0.378	51.26	10.66	1.74	A0A432MM10-C	A0A225E1Q9	DSSP
A0A432MM10_C	L0DKB6_M	129	0.332	0.353	78.41	13.95	2.09	A0A432MM10-C	L0DKB6	KAKSI
A0A432MM10_C	Q10XQ9_M	244	0.659	0.742	147.92	13.52	2.05	A0A432MM10-C	Q10XQ9	DSSP
A0A432MM10_C	A0A432MM10_M	225	0.547	0.550	150.35	20.89	1.69	A0A432MM10-C	A0A432MM10-M	KAKSI
A0A432MM10_C	A0A432MM10_C	413	1.000	1.000	297.00	100.00	0.00	A0A432MM10-C	A0A432MM10-C	KAKSI
P38968_N	A0A142YCA6_N	204	0.565	0.598	89.48	19.12	1.73	SEC31	A0A142YCA6	DSSP
P38968_N	F5YE54_N	184	0.557	0.592	127.62	5.98	2.10	SEC31	F5YE54	KAKSI
P38968_N	A0A225E1Q9_N	168	0.499	0.519	83.68	4.76	2.07	SEC31	A0A225E1Q9	KAKSI
P38968_N	L0DKB6_M	141	0.394	0.403	82.26	8.51	1.91	SEC31	L0DKB6	KAKSI
P38968_N	Q10XQ9_M	235	0.693	0.716	156.82	21.28	1.51	SEC31	Q10XQ9	KAKSI
P38968_N	A0A432MM10_M	195	0.514	0.557	146.24	8.72	2.14	SEC31	A0A432MM10-M	KAKSI
P38968_N	A0A432MM10_C	185	0.491	0.543	81.13	10.81	1.90	SEC31	A0A432MM10-C	DSSP
P38968_N	P38968_N	350	1.000	1.000	252.00	100.00	0.00	SEC31	SEC31	KAKSI
Q04491_ALL	A0A142YCA6_N	202	0.613	0.727	55.96	18.32	1.83	SEC13	A0A142YCA6	DSSP
Q04491_ALL	F5YE54_N	161	0.540	0.579	86.04	8.07	1.57	SEC13	F5YE54	DSSP
Q04491_ALL	A0A225E1Q9_N	180	0.599	0.647	110.37	8.33	2.16	SEC13	A0A225E1Q9	DSSP
Q04491_ALL	L0DKB6_M	173	0.537	0.622	106.40	8.67	2.15	SEC13	L0DKB6	DSSP
Q04491_ALL	Q10XQ9_M	212	0.702	0.768	133.85	27.83	1.18	SEC13	Q10XQ9	KAKSI
Q04491_ALL	A0A432MM10_M	174	0.508	0.630	125.63	6.90	2.12	SEC13	A0A432MM10-M	KAKSI
Q04491_ALL	A0A432MM10_C	168	0.488	0.609	66.15	4.17	2.01	SEC13	A0A432MM10-C	KAKSI
Q04491_ALL	P38968_N	204	0.652	0.739	134.77	16.67	1.61	SEC13	SEC31	KAKSI
Q04491_ALL	Q04491_ALL	278	1.000	1.000	171.00	100.00	0.00	SEC13	SEC13	DSSP
P53011_ALL	A0A142YCA6_N	192	0.540	0.582	106.10	18.75	1.56	SEH1	A0A142YCA6	DSSP
P53011_ALL	F5YE54_N	185	0.581	0.595	108.28	7.57	1.64	SEH1	F5YE54	KAKSI
P53011_ALL	A0A225E1Q9_N	153	0.471	0.472	78.89	7.19	2.03	SEH1	A0A225E1Q9	KAKSI
P53011_ALL	L0DKB6_M	173	0.501	0.531	123.58	5.20	2.19	SEH1	L0DKB6	KAKSI
P53011_ALL	Q10XQ9_M	212	0.643	0.644	113.00	24.06	1.17	SEH1	Q10XQ9	DSSP
P53011_ALL	A0A432MM10_M	169	0.460	0.518	127.64	9.47	1.64	SEH1	A0A432MM10-M	KAKSI
P53011_ALL	A0A432MM10_C	167	0.452	0.512	87.99	7.78	1.95	SEH1	A0A432MM10-C	KAKSI
P53011_ALL	P38968_N	203	0.601	0.623	132.35	14.78	1.51	SEH1	SEC31	KAKSI
P53011_ALL	Q04491_ALL	246	0.809	0.885	155.49	28.46	1.28	SEH1	SEC13	DSSP
P53011_ALL	P53011_ALL	330	1.000	1.000	171.00	100.00	0.00	SEH1	SEH1	DSSP
P38164_N	A0A142YCA6_N	198	0.514	0.520	101.95	11.62	1.87	SEA4	A0A142YCA6	DSSP
P38164_N	F5YE54_N	175	0.502	0.563	100.34	11.43	1.89	SEA4	F5YE54	KAKSI
P38164_N	A0A225E1Q9_N	156	0.439	0.481	116.00	8.33	1.83	SEA4	A0A225E1Q9	KAKSI
P38164_N	L0DKB6_M	146	0.389	0.400	81.46	8.22	2.11	SEA4	L0DKB6	KAKSI
P38164_N	Q10XQ9_M	205	0.571	0.623	97.03	9.76	1.81	SEA4	Q10XQ9	DSSP
P38164_N	A0A432MM10_M	169	0.425	0.438	120.20	10.65	1.91	SEA4	A0A432MM10-M	KAKSI
P38164_N	A0A432MM10_C	159	0.398	0.412	61.24	8.81	1.73	SEA4	A0A432MM10-C	KAKSI
P38164_N	P38968_N	210	0.571	0.600	126.38	17.62	1.88	SEA4	SEC31	KAKSI
P38164_N	Q04491_ALL	184	0.552	0.662	127.34	9.78	1.79	SEA4	SEC13	DSSP
P38164_N	P53011_ALL	175	0.487	0.530	79.56	11.43	1.56	SEA4	SEH1	DSSP
P38164_N	P38164_N	389	1.000	1.000	207.00	100.00	0.00	SEA4	SEA4	DSSP
P53622_N	A0A142YCA6_N	267	0.565	0.708	117.49	17.60	1.84	COPA	A0A142YCA6	KAKSI
P53622_N	F5YE54_N	214	0.483	0.673	119.70	7.48	1.97	COPA	F5YE54	DSSP
P53622_N	A0A225E1Q9_N	171	0.383	0.528	103.10	11.11	1.93	COPA	A0A225E1Q9	KAKSI
P53622_N	L0DKB6_M	178	0.382	0.488	91.76	7.30	1.80	COPA	L0DKB6	KAKSI
P53622_N	Q10XQ9_M	248	0.554	0.756	163.04	29.44	1.34	COPA	Q10XQ9	KAKSI
P53622_N	A0A432MM10_M	223	0.456	0.545	136.77	7.17	1.90	COPA	A0A432MM10-M	KAKSI
P53622_N	A0A432MM10_C	230	0.469	0.558	117.73	9.13	1.84	COPA	A0A432MM10-C	DSSP
P53622_N	P38968_N	244	0.532	0.697	166.81	19.26	1.67	COPA	SEC31	KAKSI
P53622_N	Q04491_ALL	220	0.521	0.797	157.79	21.36	1.68	COPA	SEC13	KAKSI
P53622_N	P53011_ALL	225	0.501	0.682	153.95	17.78	1.50	COPA	SEH1	DSSP
P53622_N	P38164_N	198	0.414	0.509	97.96	11.62	1.66	COPA	SEA4	DSSP
P53622_N	P53622_N	568	1.000	1.000	468.00	100.00	0.00	COPA	COPA	KAKSI
P41811_N	A0A142YCA6_N	273	0.574	0.717	147.04	17.58	2.05	COPBP	A0A142YCA6	DSSP
P41811_N	F5YE54_N	238	0.537	0.765	100.48	10.92	1.79	COPBP	F5YE54	KAKSI
P41811_N	A0A225E1Q9_N	171	0.380	0.528	104.06	9.94	2.04	COPBP	A0A225E1Q9	KAKSI
P41811_N	L0DKB6_M	164	0.349	0.449	107.82	4.88	1.77	COPBP	L0DKB6	KAKSI
P41811_N	Q10XQ9_M	243	0.538	0.741	168.29	30.04	1.33	COPBP	Q10XQ9	KAKSI
P41811_N	A0A432MM10_M	231	0.469	0.565	110.19	11.69	1.95	COPBP	A0A432MM10-M	KAKSI
P41811_N	A0A432MM10_C	250	0.506	0.605	161.70	9.20	2.02	COPBP	A0A432MM10-C	KAKSI
P41811_N	P38968_N	251	0.551	0.736	162.07	16.33	1.78	COPBP	SEC31	DSSP
P41811_N	Q04491_ALL	213	0.500	0.772	110.23	18.31	1.53	COPBP	SEC13	KAKSI
P41811_N	P53011_ALL	203	0.450	0.623	137.10	19.70	1.89	COPBP	SEH1	KAKSI
P41811_N	P38164_N	221	0.461	0.568	140.53	14.48	1.57	COPBP	SEA4	DSSP
P41811_N	P53622_N	454	0.798	0.799	333.21	26.87	1.26	COPBP	COPA	DSSP
P41811_N	P41811_N	576	1.000	1.000	450.00	100.00	0.00	COPBP	COPBP	KAKSI
P35729_N	A0A142YCA6_N	195	0.453	0.512	95.59	8.72	2.17	NUP120	A0A142YCA6	DSSP
P35729_N	F5YE54_N	179	0.468	0.576	151.10	9.50	1.75	NUP120	F5YE54	KAKSI
P35729_N	A0A225E1Q9_N	154	0.396	0.475	79.37	8.44	2.02	NUP120	A0A225E1Q9	KAKSI
P35729_N	L0DKB6_M	165	0.403	0.452	100.44	5.45	1.91	NUP120	L0DKB6	KAKSI
P35729_N	Q10XQ9_M	198	0.506	0.604	117.95	6.57	1.91	NUP120	Q10XQ9	KAKSI
P35729_N	A0A432MM10_M	182	0.422	0.445	134.76	13.74	1.85	NUP120	A0A432MM10-M	KAKSI
P35729_N	A0A432MM10_C	182	0.420	0.441	75.66	8.79	1.85	NUP120	A0A432MM10-C	KAKSI
P35729_N	P38968_N	194	0.473	0.569	135.61	10.31	1.74	NUP120	SEC31	DSSP
P35729_N	Q04491_ALL	172	0.471	0.623	120.70	11.63	2.25	NUP120	SEC13	KAKSI
P35729_N	P53011_ALL	162	0.415	0.497	111.27	15.43	1.96	NUP120	SEH1	KAKSI
P35729_N	P38164_N	190	0.452	0.492	124.27	11.05	2.07	NUP120	SEA4	KAKSI
P35729_N	P53622_N	211	0.403	0.440	139.98	5.21	1.91	NUP120	COPA	DSSP
P35729_N	P41811_N	198	0.377	0.412	141.05	8.08	1.62	NUP120	COPBP	DSSP
P35729_N	P35729_N	480	1.000	1.000	288.00	100.00	0.00	NUP120	NUP120	DSSP
P38181_N	A0A142YCA6_N	191	0.436	0.507	128.90	10.99	1.93	NUP170	A0A142YCA6	KAKSI
P38181_N	F5YE54_N	183	0.451	0.588	129.65	9.84	1.84	NUP170	F5YE54	KAKSI
P38181_N	A0A225E1Q9_N	155	0.381	0.480	78.25	9.03	1.72	NUP170	A0A225E1Q9	DSSP
P38181_N	L0DKB6_M	175	0.405	0.479	96.28	7.43	2.32	NUP170	L0DKB6	KAKSI
P38181_N	Q10XQ9_M	182	0.440	0.555	104.58	7.69	1.76	NUP170	Q10XQ9	KAKSI
P38181_N	A0A432MM10_M	174	0.383	0.425	125.53	7.47	1.91	NUP170	A0A432MM10-M	KAKSI
P38181_N	A0A432MM10_C	184	0.408	0.447	93.11	7.61	2.17	NUP170	A0A432MM10-C	DSSP
P38181_N	P38968_N	204	0.480	0.583	131.51	8.82	2.04	NUP170	SEC31	KAKSI
P38181_N	Q04491_ALL	185	0.481	0.665	105.92	12.43	2.23	NUP170	SEC13	DSSP
P38181_N	P53011_ALL	185	0.451	0.561	107.47	7.57	1.98	NUP170	SEH1	DSSP
P38181_N	P38164_N	176	0.400	0.452	99.90	9.09	1.74	NUP170	SEA4	DSSP
P38181_N	P53622_N	220	0.412	0.440	139.44	11.36	2.09	NUP170	COPA	KAKSI
P38181_N	P41811_N	212	0.394	0.424	113.21	8.49	1.91	NUP170	COPBP	KAKSI
P38181_N	P35729_N	207	0.426	0.431	159.26	9.66	1.94	NUP170	NUP120	DSSP
P38181_N	P38181_N	500	1.000	1.000	297.00	100.00	0.00	NUP170	NUP170	KAKSI
P36161_N	A0A142YCA6_N	191	0.466	0.507	123.23	11.52	2.03	NUP133	A0A142YCA6	KAKSI
P36161_N	F5YE54_N	175	0.465	0.563	128.11	12.57	1.84	NUP133	F5YE54	KAKSI
P36161_N	A0A225E1Q9_N	120	0.314	0.372	72.38	12.50	1.80	NUP133	A0A225E1Q9	DSSP
P36161_N	L0DKB6_M	145	0.359	0.397	95.67	8.28	1.77	NUP133	L0DKB6	KAKSI
P36161_N	Q10XQ9_M	200	0.519	0.610	113.46	10.00	1.92	NUP133	Q10XQ9	KAKSI
P36161_N	A0A432MM10_M	174	0.409	0.425	121.06	6.90	1.75	NUP133	A0A432MM10-M	KAKSI
P36161_N	A0A432MM10_C	181	0.424	0.439	102.00	6.08	1.95	NUP133	A0A432MM10-C	DSSP
P36161_N	P38968_N	183	0.462	0.523	104.06	7.65	1.85	NUP133	SEC31	KAKSI
P36161_N	Q04491_ALL	184	0.513	0.667	103.31	9.24	1.75	NUP133	SEC13	KAKSI
P36161_N	P53011_ALL	176	0.458	0.540	106.94	9.66	1.73	NUP133	SEH1	KAKSI
P36161_N	P38164_N	187	0.451	0.481	122.09	6.42	2.18	NUP133	SEA4	DSSP
P36161_N	P53622_N	215	0.426	0.488	134.27	7.44	1.81	NUP133	COPA	DSSP
P36161_N	P41811_N	195	0.386	0.442	105.80	8.21	1.84	NUP133	COPBP	DSSP
P36161_N	P35729_N	205	0.445	0.465	138.40	9.27	1.82	NUP133	NUP120	DSSP
P36161_N	P38181_N	214	0.454	0.484	135.93	12.15	2.02	NUP133	NUP170	KAKSI
P36161_N	P36161_N	442	1.000	1.000	243.00	100.00	0.00	NUP133	NUP133	KAKSI
Q9UG01_N	A0A142YCA6_N	276	0.585	0.732	161.86	12.32	1.74	IFT172	A0A142YCA6	KAKSI
Q9UG01_N	F5YE54_N	235	0.535	0.756	147.35	10.64	2.06	IFT172	F5YE54	KAKSI
Q9UG01_N	A0A225E1Q9_N	171	0.382	0.529	46.01	9.94	1.97	IFT172	A0A225E1Q9	DSSP
Q9UG01_N	L0DKB6_M	157	0.334	0.429	102.45	8.92	1.96	IFT172	L0DKB6	DSSP
Q9UG01_N	Q10XQ9_M	241	0.539	0.735	168.53	19.92	1.86	IFT172	Q10XQ9	KAKSI
Q9UG01_N	A0A432MM10_M	185	0.379	0.452	143.91	9.19	1.92	IFT172	A0A432MM10-M	KAKSI
Q9UG01_N	A0A432MM10_C	247	0.502	0.600	148.90	7.29	1.65	IFT172	A0A432MM10-C	DSSP
Q9UG01_N	P38968_N	230	0.502	0.657	156.18	13.91	1.58	IFT172	SEC31	KAKSI
Q9UG01_N	Q04491_ALL	205	0.482	0.737	133.27	12.68	1.71	IFT172	SEC13	DSSP
Q9UG01_N	P53011_ALL	199	0.441	0.603	140.37	15.58	1.57	IFT172	SEH1	DSSP
Q9UG01_N	P38164_N	202	0.424	0.523	132.75	11.88	1.51	IFT172	SEA4	KAKSI
Q9UG01_N	P53622_N	408	0.715	0.718	269.77	12.99	1.74	IFT172	COPA	DSSP
Q9UG01_N	P41811_N	415	0.726	0.728	270.06	13.25	1.72	IFT172	COPBP	DSSP
Q9UG01_N	P35729_N	201	0.394	0.443	136.37	7.46	1.95	IFT172	NUP120	KAKSI
Q9UG01_N	P38181_N	198	0.372	0.403	128.34	12.12	1.85	IFT172	NUP170	DSSP
Q9UG01_N	P36161_N	204	0.402	0.463	134.29	12.25	1.93	IFT172	NUP133	DSSP
Q9UG01_N	Q9UG01_N	573	1.000	1.000	450.00	100.00	0.00	IFT172	IFT172	DSSP
Q9P2H3_N	A0A142YCA6_N	266	0.569	0.698	162.38	15.04	1.88	IFT180	A0A142YCA6	DSSP
Q9P2H3_N	F5YE54_N	210	0.482	0.675	106.56	10.00	1.87	IFT180	F5YE54	KAKSI
Q9P2H3_N	A0A225E1Q9_N	181	0.409	0.559	124.20	8.84	1.83	IFT180	A0A225E1Q9	KAKSI
Q9P2H3_N	L0DKB6_M	168	0.363	0.460	108.59	6.55	2.14	IFT180	L0DKB6	KAKSI
Q9P2H3_N	Q10XQ9_M	240	0.544	0.729	125.36	24.58	1.40	IFT180	Q10XQ9	DSSP
Q9P2H3_N	A0A432MM10_M	199	0.410	0.487	152.07	11.06	1.90	IFT180	A0A432MM10-M	KAKSI
Q9P2H3_N	A0A432MM10_C	228	0.468	0.552	145.11	11.40	1.72	IFT180	A0A432MM10-C	KAKSI
Q9P2H3_N	P38968_N	235	0.516	0.671	163.12	18.72	1.76	IFT180	SEC31	KAKSI
Q9P2H3_N	Q04491_ALL	207	0.495	0.750	109.39	18.36	1.68	IFT180	SEC13	KAKSI
Q9P2H3_N	P53011_ALL	208	0.471	0.630	143.49	19.71	1.36	IFT180	SEH1	DSSP
Q9P2H3_N	P38164_N	198	0.420	0.509	153.49	12.12	1.53	IFT180	SEA4	DSSP
Q9P2H3_N	P53622_N	371	0.661	0.670	257.77	16.71	1.67	IFT180	COPA	DSSP
Q9P2H3_N	P41811_N	386	0.679	0.688	267.85	12.95	1.74	IFT180	COPBP	KAKSI
Q9P2H3_N	P35729_N	194	0.382	0.427	147.68	10.82	2.02	IFT180	NUP120	KAKSI
Q9P2H3_N	P38181_N	211	0.398	0.422	153.53	8.06	1.97	IFT180	NUP170	KAKSI
Q9P2H3_N	P36161_N	192	0.386	0.435	131.93	9.90	1.84	IFT180	NUP133	DSSP
Q9P2H3_N	Q9UG01_N	431	0.764	0.768	294.39	15.55	1.54	IFT180	IFT172	KAKSI
Q9P2H3_N	Q9P2H3_N	561	1.000	1.000	486.00	100.00	0.00	IFT180	IFT180	KAKSI
Q96RY7_N	A0A142YCA6_N	262	0.473	0.695	168.77	16.03	1.62	IFT140	A0A142YCA6	KAKSI
Q96RY7_N	F5YE54_N	187	0.359	0.601	112.55	10.16	1.97	IFT140	F5YE54	KAKSI
Q96RY7_N	A0A225E1Q9_N	162	0.307	0.500	94.85	8.64	2.01	IFT140	A0A225E1Q9	KAKSI
Q96RY7_N	L0DKB6_M	159	0.290	0.436	92.83	11.32	1.98	IFT140	L0DKB6	KAKSI
Q96RY7_N	Q10XQ9_M	247	0.467	0.753	156.55	14.98	1.42	IFT140	Q10XQ9	KAKSI
Q96RY7_N	A0A432MM10_M	208	0.365	0.509	128.61	12.50	1.90	IFT140	A0A432MM10-M	KAKSI
Q96RY7_N	A0A432MM10_C	227	0.399	0.551	138.47	11.45	1.82	IFT140	A0A432MM10-C	DSSP
Q96RY7_N	P38968_N	215	0.403	0.630	135.01	13.95	1.71	IFT140	SEC31	DSSP
Q96RY7_N	Q04491_ALL	195	0.389	0.701	82.13	13.33	1.67	IFT140	SEC13	DSSP
Q96RY7_N	P53011_ALL	192	0.364	0.589	97.07	16.15	1.85	IFT140	SEH1	KAKSI
Q96RY7_N	P38164_N	202	0.363	0.519	118.21	10.40	1.74	IFT140	SEA4	DSSP
Q96RY7_N	P53622_N	396	0.610	0.697	277.46	11.87	1.78	IFT140	COPA	KAKSI
Q96RY7_N	P41811_N	415	0.636	0.720	290.36	11.81	1.61	IFT140	COPBP	KAKSI
Q96RY7_N	P35729_N	213	0.354	0.444	146.90	11.74	1.81	IFT140	NUP120	DSSP
Q96RY7_N	P38181_N	197	0.324	0.401	129.57	9.14	2.15	IFT140	NUP170	DSSP
Q96RY7_N	P36161_N	192	0.328	0.434	125.45	11.46	1.88	IFT140	NUP133	KAKSI
Q96RY7_N	Q9UG01_N	367	0.566	0.647	287.75	14.99	1.73	IFT140	IFT172	KAKSI
Q96RY7_N	Q9P2H3_N	406	0.635	0.733	294.86	12.32	1.93	IFT140	IFT180	DSSP
Q96RY7_N	Q96RY7_N	730	1.000	1.000	558.00	100.00	0.00	IFT140	IFT140	KAKSI
Q9HBG6_N	A0A142YCA6_N	270	0.557	0.716	162.00	18.15	1.73	IFT122	A0A142YCA6	KAKSI
Q9HBG6_N	F5YE54_N	218	0.478	0.686	85.74	5.50	1.96	IFT122	F5YE54	DSSP
Q9HBG6_N	A0A225E1Q9_N	185	0.403	0.571	108.89	9.73	1.81	IFT122	A0A225E1Q9	KAKSI
Q9HBG6_N	L0DKB6_M	164	0.342	0.449	103.85	9.15	1.89	IFT122	L0DKB6	KAKSI
Q9HBG6_N	Q10XQ9_M	241	0.522	0.733	123.64	18.67	1.56	IFT122	Q10XQ9	DSSP
Q9HBG6_N	A0A432MM10_M	208	0.408	0.489	133.79	10.58	1.82	IFT122	A0A432MM10-M	DSSP
Q9HBG6_N	A0A432MM10_C	244	0.485	0.592	157.11	13.11	1.88	IFT122	A0A432MM10-C	DSSP
Q9HBG6_N	P38968_N	239	0.511	0.701	162.57	14.64	1.50	IFT122	SEC31	DSSP
Q9HBG6_N	Q04491_ALL	214	0.491	0.770	143.84	20.09	1.37	IFT122	SEC13	DSSP
Q9HBG6_N	P53011_ALL	215	0.465	0.652	144.48	19.53	1.32	IFT122	SEH1	DSSP
Q9HBG6_N	P38164_N	204	0.417	0.528	134.68	10.78	1.85	IFT122	SEA4	KAKSI
Q9HBG6_N	P53622_N	429	0.738	0.755	318.64	15.62	1.61	IFT122	COPA	DSSP
Q9HBG6_N	P41811_N	436	0.746	0.757	292.66	12.61	1.70	IFT122	COPBP	KAKSI
Q9HBG6_N	P35729_N	195	0.372	0.430	124.84	9.74	1.97	IFT122	NUP120	KAKSI
Q9HBG6_N	P38181_N	199	0.367	0.405	87.75	10.05	2.06	IFT122	NUP170	DSSP
Q9HBG6_N	P36161_N	194	0.375	0.440	123.13	11.34	2.12	IFT122	NUP133	DSSP
Q9HBG6_N	Q9UG01_N	427	0.736	0.753	282.49	15.46	1.85	IFT122	IFT172	KAKSI
Q9HBG6_N	Q9P2H3_N	418	0.728	0.755	319.36	12.92	1.63	IFT122	IFT180	DSSP
Q9HBG6_N	Q96RY7_N	443	0.672	0.746	291.90	13.32	1.53	IFT122	IFT140	DSSP
Q9HBG6_N	Q9HBG6_N	594	1.000	1.000	450.00	100.00	0.00	IFT122	IFT122	DSSP
Q8NEZ3_N	A0A142YCA6_N	274	0.557	0.719	178.20	16.42	1.91	WDR19	A0A142YCA6	DSSP
Q8NEZ3_N	F5YE54_N	252	0.547	0.792	164.39	10.32	1.97	WDR19	F5YE54	DSSP
Q8NEZ3_N	A0A225E1Q9_N	170	0.366	0.525	80.57	7.65	1.97	WDR19	A0A225E1Q9	KAKSI
Q8NEZ3_N	L0DKB6_M	138	0.285	0.378	72.62	9.42	2.04	WDR19	L0DKB6	KAKSI
Q8NEZ3_N	Q10XQ9_M	275	0.590	0.836	135.15	14.18	2.04	WDR19	Q10XQ9	DSSP
Q8NEZ3_N	A0A432MM10_M	221	0.430	0.520	117.91	11.31	1.81	WDR19	A0A432MM10-M	DSSP
Q8NEZ3_N	A0A432MM10_C	251	0.493	0.608	135.28	11.55	1.57	WDR19	A0A432MM10-C	KAKSI
Q8NEZ3_N	P38968_N	221	0.463	0.631	144.63	11.31	1.72	WDR19	SEC31	KAKSI
Q8NEZ3_N	Q04491_ALL	185	0.420	0.665	79.05	12.97	1.72	WDR19	SEC13	DSSP
Q8NEZ3_N	P53011_ALL	195	0.418	0.591	98.59	12.31	1.56	WDR19	SEH1	DSSP
Q8NEZ3_N	P38164_N	196	0.395	0.504	136.10	8.67	1.66	WDR19	SEA4	DSSP
Q8NEZ3_N	P53622_N	420	0.716	0.739	278.05	10.71	1.83	WDR19	COPA	KAKSI
Q8NEZ3_N	P41811_N	438	0.747	0.768	290.60	13.24	1.82	WDR19	COPBP	DSSP
Q8NEZ3_N	P35729_N	198	0.366	0.412	118.02	8.59	1.77	WDR19	NUP120	DSSP
Q8NEZ3_N	P38181_N	207	0.375	0.414	96.60	10.14	1.90	WDR19	NUP170	KAKSI
Q8NEZ3_N	P36161_N	199	0.381	0.451	111.63	10.55	2.05	WDR19	NUP133	DSSP
Q8NEZ3_N	Q9UG01_N	402	0.684	0.702	245.33	14.93	1.76	WDR19	IFT172	DSSP
Q8NEZ3_N	Q9P2H3_N	399	0.684	0.711	272.90	15.54	1.65	WDR19	IFT180	KAKSI
Q8NEZ3_N	Q96RY7_N	457	0.688	0.758	369.99	14.44	1.61	WDR19	IFT140	DSSP
Q8NEZ3_N	Q9HBG6_N	423	0.706	0.713	270.65	13.48	1.78	WDR19	IFT122	KAKSI
Q8NEZ3_N	Q8NEZ3_N	605	1.000	1.000	486.00	100.00	0.00	WDR19	WDR19	KAKSI
Q9P2L0_N	A0A142YCA6_N	247	0.483	0.655	153.16	15.38	1.79	WDR35	A0A142YCA6	KAKSI
Q9P2L0_N	F5YE54_N	216	0.451	0.695	112.80	11.57	1.80	WDR35	F5YE54	KAKSI
Q9P2L0_N	A0A225E1Q9_N	156	0.322	0.481	96.79	7.69	2.08	WDR35	A0A225E1Q9	KAKSI
Q9P2L0_N	L0DKB6_M	150	0.297	0.411	87.25	5.33	2.20	WDR35	L0DKB6	KAKSI
Q9P2L0_N	Q10XQ9_M	242	0.497	0.738	116.19	11.98	1.77	WDR35	Q10XQ9	KAKSI
Q9P2L0_N	A0A432MM10_M	204	0.387	0.499	115.35	11.27	2.00	WDR35	A0A432MM10-M	KAKSI
Q9P2L0_N	A0A432MM10_C	232	0.438	0.562	130.41	12.07	2.11	WDR35	A0A432MM10-C	KAKSI
Q9P2L0_N	P38968_N	216	0.434	0.617	152.18	14.35	1.69	WDR35	SEC31	KAKSI
Q9P2L0_N	Q04491_ALL	211	0.458	0.764	136.54	16.59	2.06	WDR35	SEC13	KAKSI
Q9P2L0_N	P53011_ALL	195	0.401	0.598	111.28	15.90	1.48	WDR35	SEH1	KAKSI
Q9P2L0_N	P38164_N	187	0.362	0.484	133.76	8.56	1.86	WDR35	SEA4	KAKSI
Q9P2L0_N	P53622_N	351	0.585	0.618	233.75	10.26	1.63	WDR35	COPA	DSSP
Q9P2L0_N	P41811_N	383	0.627	0.665	291.96	10.44	1.89	WDR35	COPBP	KAKSI
