qcode	tcode	eq	sr	so	bscore	seqi	rmsdp	qlabel	tlabel	ss
A0A432MM10_N	L0DKB6_C	41	0.092	0.185	4.77	7.32	2.70	A0A432MM10-N	L0DKB6	KAKSI
A0A432MM10_N	Q10XQ9_C	58	0.238	0.262	7.80	13.79	2.00	A0A432MM10-N	Q10XQ9	DSSP
A0A432MM10_N	A0A432MM10_N	222	1.000	1.000	72.00	100.00	0.00	A0A432MM10-N	A0A432MM10-N	KAKSI
A0A432MM10_M	A0A142YCA6_C	162	0.536	0.553	28.48	16.05	1.61	A0A432MM10-M	A0A142YCA6	DSSP
A0A432MM10_M	F5YE54_C	65	0.267	0.371	8.76	10.77	2.20	A0A432MM10-M	F5YE54	DSSP
A0A432MM10_M	A0A225E1Q9_C	84	0.145	0.270	19.29	13.10	2.22	A0A432MM10-M	A0A225E1Q9	KAKSI
A0A432MM10_M	L0DKB6_C	36	0.073	0.116	3.89	8.33	2.00	A0A432MM10-M	L0DKB6	KAKSI
A0A432MM10_M	Q10XQ9_C	88	0.303	0.327	12.51	10.23	1.86	A0A432MM10-M	Q10XQ9	KAKSI
A0A432MM10_M	A0A432MM10_N	158	0.593	0.715	38.42	25.32	1.75	A0A432MM10-M	A0A432MM10-N	DSSP
A0A432MM10_M	A0A432MM10_M	312	1.000	1.000	135.00	100.00	0.00	A0A432MM10-M	A0A432MM10-M	DSSP
P38968_C	A0A142YCA6_C	74	0.229	0.253	9.73	2.70	2.25	SEC31	A0A142YCA6	DSSP
P38968_C	F5YE54_C	34	0.124	0.182	2.25	2.94	1.80	SEC31	F5YE54	KAKSI
P38968_C	A0A225E1Q9_C	86	0.145	0.243	9.28	13.95	2.18	SEC31	A0A225E1Q9	DSSP
P38968_C	L0DKB6_C	93	0.180	0.258	10.49	8.60	2.27	SEC31	L0DKB6	KAKSI
P38968_C	Q10XQ9_C	36	0.114	0.134	4.04	13.89	2.40	SEC31	Q10XQ9	KAKSI
P38968_C	A0A432MM10_N	87	0.299	0.392	7.42	13.79	1.64	SEC31	A0A432MM10-N	KAKSI
P38968_C	A0A432MM10_M	106	0.316	0.341	15.40	9.43	2.32	SEC31	A0A432MM10-M	KAKSI
P38968_C	P38968_C	360	1.000	1.000	153.00	100.00	0.00	SEC31	SEC31	KAKSI
P48415_C	A0A142YCA6_C	117	0.339	0.394	8.53	8.55	1.91	SEC16	A0A142YCA6	KAKSI
P48415_C	F5YE54_C	52	0.183	0.297	4.20	13.46	2.30	SEC16	F5YE54	DSSP
P48415_C	A0A225E1Q9_C	62	0.100	0.158	6.09	9.68	2.20	SEC16	A0A225E1Q9	KAKSI
P48415_C	L0DKB6_C	61	0.114	0.155	6.20	8.20	1.74	SEC16	L0DKB6	KAKSI
P48415_C	Q10XQ9_C	44	0.134	0.165	4.44	4.55	2.00	SEC16	Q10XQ9	DSSP
P48415_C	A0A432MM10_N	75	0.244	0.338	4.24	8.00	2.13	SEC16	A0A432MM10-N	KAKSI
P48415_C	A0A432MM10_M	74	0.210	0.238	8.91	5.41	2.22	SEC16	A0A432MM10-M	KAKSI
P48415_C	P38968_C	169	0.452	0.477	28.28	17.75	2.20	SEC16	SEC31	DSSP
P48415_C	P48415_C	393	1.000	1.000	153.00	100.00	0.00	SEC16	SEC16	KAKSI
P38164_C	A0A142YCA6_C	61	0.135	0.205	4.18	14.75	1.96	SEA4	A0A142YCA6	KAKSI
P38164_C	F5YE54_C	29	0.073	0.155	1.94	3.45	2.30	SEA4	F5YE54	KAKSI
P38164_C	A0A225E1Q9_C	106	0.146	0.175	8.89	8.49	1.97	SEA4	A0A225E1Q9	KAKSI
P38164_C	L0DKB6_C	74	0.116	0.122	7.43	9.46	2.06	SEA4	L0DKB6	KAKSI
P38164_C	Q10XQ9_C	58	0.132	0.216	3.77	5.17	1.64	SEA4	Q10XQ9	KAKSI
P38164_C	A0A432MM10_N	75	0.181	0.338	6.77	5.33	1.92	SEA4	A0A432MM10-N	KAKSI
P38164_C	A0A432MM10_M	64	0.140	0.205	6.08	10.94	2.38	SEA4	A0A432MM10-M	DSSP
P38164_C	P38968_C	102	0.213	0.288	12.04	4.90	1.73	SEA4	SEC31	DSSP
P38164_C	P48415_C	120	0.240	0.305	14.67	9.17	2.12	SEA4	SEC16	KAKSI
P38164_C	P38164_C	607	1.000	1.000	252.00	100.00	0.00	SEA4	SEA4	KAKSI
P53622_C	A0A142YCA6_C	102	0.233	0.343	13.30	11.76	2.03	COPA	A0A142YCA6	KAKSI
P53622_C	F5YE54_C	60	0.156	0.321	11.30	13.33	2.40	COPA	F5YE54	KAKSI
P53622_C	A0A225E1Q9_C	81	0.114	0.140	13.10	12.35	2.31	COPA	A0A225E1Q9	KAKSI
P53622_C	L0DKB6_C	98	0.156	0.169	9.49	11.22	1.95	COPA	L0DKB6	KAKSI
P53622_C	Q10XQ9_C	80	0.188	0.297	6.86	7.50	2.04	COPA	Q10XQ9	KAKSI
P53622_C	A0A432MM10_N	80	0.205	0.362	10.07	13.75	1.72	COPA	A0A432MM10-N	DSSP
P53622_C	A0A432MM10_M	162	0.364	0.521	23.34	8.64	2.20	COPA	A0A432MM10-M	KAKSI
P53622_C	P38968_C	106	0.232	0.299	9.24	12.26	2.22	COPA	SEC31	DSSP
P53622_C	P48415_C	110	0.226	0.280	11.35	10.00	2.10	COPA	SEC16	KAKSI
P53622_C	P38164_C	100	0.172	0.178	10.67	11.00	2.17	COPA	SEA4	DSSP
P53622_C	P53622_C	580	1.000	1.000	270.00	100.00	0.00	COPA	COPA	KAKSI
P41811_C	A0A142YCA6_C	77	0.313	0.387	13.98	14.29	2.21	COPBP	A0A142YCA6	DSSP
P41811_C	F5YE54_C	80	0.409	0.428	13.37	16.25	2.26	COPBP	F5YE54	KAKSI
P41811_C	A0A225E1Q9_C	111	0.212	0.544	19.87	11.71	2.33	COPBP	A0A225E1Q9	KAKSI
P41811_C	L0DKB6_C	77	0.176	0.377	20.45	11.69	2.26	COPBP	L0DKB6	KAKSI
P41811_C	Q10XQ9_C	74	0.318	0.372	16.17	14.86	1.66	COPBP	Q10XQ9	DSSP
P41811_C	A0A432MM10_N	100	0.469	0.490	16.07	12.00	2.20	COPBP	A0A432MM10-N	KAKSI
P41811_C	A0A432MM10_M	113	0.439	0.554	11.47	16.81	2.11	COPBP	A0A432MM10-M	KAKSI
P41811_C	P38968_C	75	0.271	0.377	6.96	8.00	1.94	COPBP	SEC31	DSSP
P41811_C	P48415_C	53	0.179	0.266	6.84	16.98	1.79	COPBP	SEC16	DSSP
P41811_C	P38164_C	78	0.192	0.382	14.63	12.82	2.14	COPBP	SEA4	KAKSI
P41811_C	P53622_C	169	0.431	0.828	46.13	17.75	1.95	COPBP	COPA	KAKSI
P41811_C	P41811_C	204	1.000	1.000	90.00	100.00	0.00	COPBP	COPBP	KAKSI
P40509_ALL	A0A142YCA6_C	88	0.300	0.303	13.28	7.95	1.42	COPE	A0A142YCA6	KAKSI
P40509_ALL	F5YE54_C	88	0.369	0.471	13.33	9.09	2.53	COPE	F5YE54	KAKSI
P40509_ALL	A0A225E1Q9_C	99	0.175	0.341	6.84	8.08	2.28	COPE	A0A225E1Q9	KAKSI
P40509_ALL	L0DKB6_C	78	0.164	0.273	9.37	10.26	2.30	COPE	L0DKB6	DSSP
P40509_ALL	Q10XQ9_C	77	0.279	0.289	6.54	9.09	2.10	COPE	Q10XQ9	DSSP
P40509_ALL	A0A432MM10_N	78	0.305	0.351	7.36	8.97	2.30	COPE	A0A432MM10-N	KAKSI
P40509_ALL	A0A432MM10_M	123	0.409	0.424	22.29	13.01	1.94	COPE	A0A432MM10-M	KAKSI
P40509_ALL	P38968_C	98	0.302	0.338	12.18	12.24	1.55	COPE	SEC31	KAKSI
P40509_ALL	P48415_C	115	0.339	0.402	9.34	10.43	2.36	COPE	SEC16	DSSP
P40509_ALL	P38164_C	57	0.128	0.199	9.73	10.53	2.08	COPE	SEA4	DSSP
P40509_ALL	P53622_C	100	0.236	0.350	13.45	12.00	2.29	COPE	COPA	DSSP
P40509_ALL	P41811_C	86	0.355	0.432	14.75	8.14	2.24	COPE	COPBP	DSSP
P40509_ALL	P40509_ALL	290	1.000	1.000	117.00	100.00	0.00	COPE	COPE	KAKSI
P41810_ALL	A0A142YCA6_C	91	0.150	0.311	11.59	7.69	1.95	COPB	A0A142YCA6	DSSP
P41810_ALL	F5YE54_C	121	0.220	0.691	12.06	15.70	1.67	COPB	F5YE54	DSSP
P41810_ALL	A0A225E1Q9_C	211	0.241	0.255	26.42	16.59	2.29	COPB	A0A225E1Q9	DSSP
P41810_ALL	L0DKB6_C	227	0.283	0.337	38.44	11.01	2.12	COPB	L0DKB6	KAKSI
P41810_ALL	Q10XQ9_C	86	0.143	0.320	6.22	9.30	1.73	COPB	Q10XQ9	KAKSI
P41810_ALL	A0A432MM10_N	74	0.129	0.335	6.23	13.51	2.16	COPB	A0A432MM10-N	DSSP
P41810_ALL	A0A432MM10_M	130	0.211	0.417	10.38	11.54	2.21	COPB	A0A432MM10-M	DSSP
P41810_ALL	P38968_C	118	0.183	0.328	13.41	11.02	2.12	COPB	SEC31	KAKSI
P41810_ALL	P48415_C	80	0.122	0.204	5.20	13.75	1.96	COPB	SEC16	DSSP
P41810_ALL	P38164_C	88	0.114	0.145	10.09	10.23	1.91	COPB	SEA4	KAKSI
P41810_ALL	P53622_C	154	0.208	0.275	12.61	11.04	2.30	COPB	COPA	DSSP
P41810_ALL	P41811_C	97	0.171	0.475	16.97	11.34	2.18	COPB	COPBP	KAKSI
P41810_ALL	P40509_ALL	118	0.195	0.413	21.55	7.63	2.20	COPB	COPE	DSSP
P41810_ALL	P41810_ALL	931	1.000	1.000	486.00	100.00	0.00	COPB	COPB	KAKSI
P32074_ALL	A0A142YCA6_C	62	0.102	0.209	10.17	4.84	1.90	COPY	A0A142YCA6	KAKSI
P32074_ALL	F5YE54_C	103	0.185	0.551	16.00	17.48	2.40	COPY	F5YE54	KAKSI
P32074_ALL	A0A225E1Q9_C	292	0.330	0.346	95.19	15.75	1.75	COPY	A0A225E1Q9	KAKSI
P32074_ALL	L0DKB6_C	226	0.287	0.341	50.72	12.39	2.18	COPY	L0DKB6	DSSP
P32074_ALL	Q10XQ9_C	43	0.073	0.162	3.94	6.98	2.56	COPY	Q10XQ9	DSSP
P32074_ALL	A0A432MM10_N	67	0.117	0.302	16.15	7.46	2.45	COPY	A0A432MM10-N	KAKSI
P32074_ALL	A0A432MM10_M	100	0.162	0.322	16.69	12.00	2.28	COPY	A0A432MM10-M	KAKSI
P32074_ALL	P38968_C	113	0.176	0.314	14.10	9.73	2.03	COPY	SEC31	KAKSI
P32074_ALL	P48415_C	113	0.172	0.288	8.78	15.93	2.02	COPY	SEC16	KAKSI
P32074_ALL	P38164_C	80	0.105	0.132	17.80	12.50	1.79	COPY	SEA4	KAKSI
P32074_ALL	P53622_C	115	0.156	0.205	16.67	5.22	2.40	COPY	COPA	DSSP
P32074_ALL	P41811_C	102	0.181	0.500	19.02	13.73	2.03	COPY	COPBP	KAKSI
P32074_ALL	P40509_ALL	133	0.222	0.465	15.61	6.77	2.24	COPY	COPE	DSSP
P32074_ALL	P41810_ALL	476	0.513	0.515	139.20	15.13	1.94	COPY	COPB	KAKSI
P32074_ALL	P32074_ALL	924	1.000	1.000	495.00	100.00	0.00	COPY	COPY	KAKSI
P34077_C	A0A142YCA6_C	94	0.208	0.321	9.80	6.38	2.25	NIC96	A0A142YCA6	DSSP
P34077_C	F5YE54_C	40	0.099	0.214	4.42	2.50	1.70	NIC96	F5YE54	KAKSI
P34077_C	A0A225E1Q9_C	70	0.097	0.115	10.72	4.29	2.14	NIC96	A0A225E1Q9	DSSP
P34077_C	L0DKB6_C	83	0.128	0.134	9.53	10.84	2.36	NIC96	L0DKB6	KAKSI
P34077_C	Q10XQ9_C	39	0.088	0.145	7.17	7.69	2.30	NIC96	Q10XQ9	KAKSI
P34077_C	A0A432MM10_N	89	0.214	0.403	11.04	14.61	2.10	NIC96	A0A432MM10-N	DSSP
P34077_C	A0A432MM10_M	105	0.228	0.337	6.89	11.43	2.10	NIC96	A0A432MM10-M	DSSP
P34077_C	P38968_C	149	0.304	0.414	10.39	14.77	1.83	NIC96	SEC31	KAKSI
P34077_C	P48415_C	138	0.273	0.351	20.71	10.87	2.22	NIC96	SEC16	KAKSI
P34077_C	P38164_C	77	0.127	0.127	6.99	12.99	1.77	NIC96	SEA4	DSSP
P34077_C	P53622_C	139	0.237	0.248	17.29	7.19	2.51	NIC96	COPA	DSSP
P34077_C	P41811_C	70	0.170	0.343	9.19	14.29	1.96	NIC96	COPBP	KAKSI
P34077_C	P40509_ALL	104	0.232	0.364	11.00	7.69	1.97	NIC96	COPE	DSSP
P34077_C	P41810_ALL	185	0.239	0.299	15.35	9.19	2.21	NIC96	COPB	KAKSI
P34077_C	P32074_ALL	107	0.139	0.173	24.48	5.61	2.18	NIC96	COPY	KAKSI
P34077_C	P34077_C	619	1.000	1.000	270.00	100.00	0.00	NIC96	NIC96	KAKSI
P46673_ALL	A0A142YCA6_C	74	0.149	0.249	15.80	10.81	2.60	NUP85	A0A142YCA6	KAKSI
P46673_ALL	F5YE54_C	58	0.131	0.331	7.23	3.45	2.31	NUP85	F5YE54	DSSP
P46673_ALL	A0A225E1Q9_C	70	0.091	0.101	16.32	5.71	2.15	NUP85	A0A225E1Q9	KAKSI
P46673_ALL	L0DKB6_C	58	0.084	0.087	6.11	10.34	2.15	NUP85	L0DKB6	DSSP
P46673_ALL	Q10XQ9_C	75	0.156	0.279	4.85	10.67	1.99	NUP85	Q10XQ9	KAKSI
P46673_ALL	A0A432MM10_N	64	0.140	0.288	4.16	9.38	1.81	NUP85	A0A432MM10-N	KAKSI
P46673_ALL	A0A432MM10_M	88	0.175	0.283	10.69	17.05	2.14	NUP85	A0A432MM10-M	KAKSI
P46673_ALL	P38968_C	89	0.167	0.251	6.75	15.73	2.20	NUP85	SEC31	DSSP
P46673_ALL	P48415_C	84	0.155	0.214	18.58	9.52	1.99	NUP85	SEC16	KAKSI
P46673_ALL	P38164_C	146	0.224	0.241	10.60	6.85	1.82	NUP85	SEA4	KAKSI
P46673_ALL	P53622_C	124	0.195	0.214	11.77	12.10	1.76	NUP85	COPA	KAKSI
P46673_ALL	P41811_C	68	0.149	0.342	7.42	7.35	1.64	NUP85	COPBP	DSSP
P46673_ALL	P40509_ALL	97	0.197	0.334	13.98	8.25	1.90	NUP85	COPE	KAKSI
P46673_ALL	P41810_ALL	119	0.146	0.171	12.52	9.24	2.36	NUP85	COPB	KAKSI
P46673_ALL	P32074_ALL	96	0.119	0.138	9.04	12.50	2.00	NUP85	COPY	KAKSI
P46673_ALL	P34077_C	226	0.344	0.365	35.43	12.83	1.81	NUP85	NIC96	KAKSI
P46673_ALL	P46673_ALL	713	1.000	1.000	306.00	100.00	0.00	NUP85	NUP85	DSSP
P35729_C	A0A142YCA6_C	118	0.282	0.397	12.15	4.24	2.11	NUP120	A0A142YCA6	KAKSI
P35729_C	F5YE54_C	71	0.195	0.380	6.42	5.63	2.43	NUP120	F5YE54	KAKSI
P35729_C	A0A225E1Q9_C	37	0.054	0.069	8.59	5.41	2.50	NUP120	A0A225E1Q9	DSSP
P35729_C	L0DKB6_C	76	0.125	0.141	6.06	6.58	1.95	NUP120	L0DKB6	KAKSI
P35729_C	Q10XQ9_C	38	0.094	0.141	2.57	2.63	1.20	NUP120	Q10XQ9	KAKSI
P35729_C	A0A432MM10_N	90	0.238	0.407	20.05	10.00	2.58	NUP120	A0A432MM10-N	DSSP
P35729_C	A0A432MM10_M	121	0.286	0.388	12.83	13.22	1.99	NUP120	A0A432MM10-M	DSSP
P35729_C	P38968_C	77	0.173	0.218	11.66	2.60	2.46	NUP120	SEC31	DSSP
P35729_C	P48415_C	82	0.177	0.209	7.76	4.88	1.94	NUP120	SEC16	DSSP
P35729_C	P38164_C	45	0.079	0.084	15.64	4.44	2.29	NUP120	SEA4	DSSP
P35729_C	P53622_C	111	0.198	0.206	28.57	8.11	2.32	NUP120	COPA	KAKSI
P35729_C	P41811_C	94	0.253	0.461	18.94	6.38	2.00	NUP120	COPBP	KAKSI
P35729_C	P40509_ALL	85	0.207	0.297	17.93	7.06	2.00	NUP120	COPE	DSSP
P35729_C	P41810_ALL	95	0.129	0.176	13.69	10.53	2.26	NUP120	COPB	KAKSI
P35729_C	P32074_ALL	105	0.145	0.196	14.94	6.67	2.15	NUP120	COPY	DSSP
P35729_C	P34077_C	111	0.192	0.206	33.28	8.11	1.91	NUP120	NIC96	KAKSI
P35729_C	P46673_ALL	132	0.212	0.247	14.17	6.82	1.94	NUP120	NUP85	DSSP
P35729_C	P35729_C	540	1.000	1.000	225.00	100.00	0.00	NUP120	NUP120	KAKSI
P49687_C	A0A142YCA6_C	120	0.285	0.410	11.91	8.33	1.68	NUP145	A0A142YCA6	DSSP
P49687_C	F5YE54_C	54	0.149	0.309	4.18	1.85	2.30	NUP145	F5YE54	DSSP
P49687_C	A0A225E1Q9_C	130	0.186	0.234	14.12	9.23	2.46	NUP145	A0A225E1Q9	KAKSI
P49687_C	L0DKB6_C	42	0.068	0.076	8.78	14.29	2.07	NUP145	L0DKB6	KAKSI
P49687_C	Q10XQ9_C	39	0.096	0.147	7.88	2.56	2.70	NUP145	Q10XQ9	DSSP
P49687_C	A0A432MM10_N	55	0.143	0.249	4.30	12.73	2.14	NUP145	A0A432MM10-N	DSSP
P49687_C	A0A432MM10_M	84	0.195	0.269	15.95	5.95	2.27	NUP145	A0A432MM10-M	DSSP
P49687_C	P38968_C	133	0.291	0.369	11.62	15.79	2.22	NUP145	SEC31	KAKSI
P49687_C	P48415_C	129	0.272	0.328	16.40	9.30	2.23	NUP145	SEC16	KAKSI
P49687_C	P38164_C	91	0.157	0.164	9.44	9.89	2.19	NUP145	SEA4	KAKSI
P49687_C	P53622_C	165	0.298	0.301	18.29	8.48	2.11	NUP145	COPA	DSSP
P49687_C	P41811_C	79	0.212	0.397	9.35	13.92	1.86	NUP145	COPBP	DSSP
P49687_C	P40509_ALL	69	0.165	0.241	9.72	11.59	1.93	NUP145	COPE	DSSP
P49687_C	P41810_ALL	134	0.180	0.241	24.72	9.70	2.30	NUP145	COPB	KAKSI
P49687_C	P32074_ALL	126	0.172	0.230	22.66	9.52	2.41	NUP145	COPY	DSSP
P49687_C	P34077_C	281	0.485	0.513	64.62	9.96	1.89	NUP145	NIC96	DSSP
P49687_C	P46673_ALL	172	0.275	0.310	39.52	13.37	2.11	NUP145	NUP85	KAKSI
P49687_C	P35729_C	131	0.242	0.245	15.28	7.63	1.81	NUP145	NUP120	DSSP
P49687_C	P49687_C	555	1.000	1.000	270.00	100.00	0.00	NUP145	NUP145	KAKSI
P38181_C	A0A142YCA6_C	67	0.121	0.229	11.72	13.43	2.30	NUP170	A0A142YCA6	DSSP
P38181_C	F5YE54_C	67	0.136	0.383	9.21	11.94	2.55	NUP170	F5YE54	DSSP
P38181_C	A0A225E1Q9_C	145	0.177	0.179	28.19	10.34	2.23	NUP170	A0A225E1Q9	DSSP
P38181_C	L0DKB6_C	86	0.117	0.130	10.38	10.47	2.41	NUP170	L0DKB6	DSSP
P38181_C	Q10XQ9_C	51	0.095	0.192	4.83	0.00	2.10	NUP170	Q10XQ9	DSSP
P38181_C	A0A432MM10_N	57	0.112	0.257	6.90	5.26	1.94	NUP170	A0A432MM10-N	KAKSI
P38181_C	A0A432MM10_M	86	0.153	0.276	6.43	15.12	1.81	NUP170	A0A432MM10-M	DSSP
P38181_C	P38968_C	43	0.074	0.119	4.84	9.30	1.30	NUP170	SEC31	KAKSI
P38181_C	P48415_C	83	0.139	0.211	8.69	10.84	2.01	NUP170	SEC16	KAKSI
P38181_C	P38164_C	58	0.083	0.096	7.90	8.62	1.94	NUP170	SEA4	KAKSI
P38181_C	P53622_C	79	0.115	0.136	13.16	7.59	1.97	NUP170	COPA	KAKSI
P38181_C	P41811_C	93	0.184	0.467	12.13	8.60	1.95	NUP170	COPBP	DSSP
P38181_C	P40509_ALL	104	0.189	0.364	20.43	12.50	2.13	NUP170	COPE	DSSP
P38181_C	P41810_ALL	102	0.118	0.126	20.68	8.82	2.00	NUP170	COPB	DSSP
P38181_C	P32074_ALL	97	0.113	0.122	12.96	8.25	2.27	NUP170	COPY	KAKSI
P38181_C	P34077_C	70	0.098	0.115	8.29	11.43	2.09	NUP170	NIC96	DSSP
P38181_C	P46673_ALL	94	0.126	0.135	8.23	7.45	2.18	NUP170	NUP85	KAKSI
P38181_C	P35729_C	48	0.072	0.089	5.16	8.33	1.40	NUP170	NUP120	KAKSI
P38181_C	P49687_C	60	0.088	0.109	4.87	1.67	2.46	NUP170	NUP145	DSSP
P38181_C	P38181_C	812	1.000	1.000	315.00	100.00	0.00	NUP170	NUP170	DSSP
P36161_C	A0A142YCA6_C	115	0.240	0.387	11.10	3.48	2.13	NUP133	A0A142YCA6	KAKSI
P36161_C	F5YE54_C	61	0.144	0.326	4.44	8.20	2.15	NUP133	F5YE54	KAKSI
P36161_C	A0A225E1Q9_C	77	0.104	0.118	9.99	11.69	2.50	NUP133	A0A225E1Q9	DSSP
P36161_C	L0DKB6_C	138	0.207	0.208	21.23	10.14	1.97	NUP133	L0DKB6	KAKSI
P36161_C	Q10XQ9_C	72	0.155	0.268	4.61	4.17	2.35	NUP133	Q10XQ9	KAKSI
P36161_C	A0A432MM10_N	103	0.233	0.464	8.86	8.74	2.00	NUP133	A0A432MM10-N	KAKSI
P36161_C	A0A432MM10_M	99	0.205	0.317	9.58	16.16	2.24	NUP133	A0A432MM10-M	DSSP
P36161_C	P38968_C	110	0.218	0.311	10.08	9.09	1.95	NUP133	SEC31	DSSP
P36161_C	P48415_C	129	0.245	0.328	11.97	8.53	1.74	NUP133	SEC16	KAKSI
P36161_C	P38164_C	94	0.149	0.155	8.38	14.89	2.10	NUP133	SEA4	DSSP
P36161_C	P53622_C	137	0.225	0.244	11.27	7.30	2.02	NUP133	COPA	DSSP
P36161_C	P41811_C	80	0.187	0.402	9.13	10.00	2.30	NUP133	COPBP	DSSP
P36161_C	P40509_ALL	137	0.288	0.472	9.47	12.41	2.16	NUP133	COPE	KAKSI
P36161_C	P41810_ALL	163	0.205	0.246	28.66	10.43	2.30	NUP133	COPB	KAKSI
P36161_C	P32074_ALL	145	0.185	0.221	15.09	15.17	1.91	NUP133	COPY	DSSP
P36161_C	P34077_C	123	0.194	0.201	11.83	9.76	2.02	NUP133	NIC96	DSSP
P36161_C	P46673_ALL	103	0.151	0.157	12.53	7.77	1.90	NUP133	NUP85	DSSP
P36161_C	P35729_C	123	0.205	0.228	8.75	8.94	2.02	NUP133	NUP120	KAKSI
P36161_C	P49687_C	97	0.161	0.177	10.58	13.40	1.91	NUP133	NUP145	DSSP
P36161_C	P38181_C	125	0.170	0.191	24.99	13.60	1.67	NUP133	NUP170	DSSP
P36161_C	P36161_C	662	1.000	1.000	261.00	100.00	0.00	NUP133	NUP133	KAKSI
P47054_ALL	A0A142YCA6_C	39	0.040	0.131	6.22	7.69	2.10	NUP192	A0A142YCA6	KAKSI
P47054_ALL	F5YE54_C	93	0.101	0.497	8.18	9.68	1.75	NUP192	F5YE54	KAKSI
P47054_ALL	A0A225E1Q9_C	210	0.168	0.249	40.09	9.05	2.12	NUP192	A0A225E1Q9	KAKSI
P47054_ALL	L0DKB6_C	123	0.108	0.186	13.94	16.26	1.80	NUP192	L0DKB6	DSSP
P47054_ALL	Q10XQ9_C	48	0.050	0.178	4.45	4.17	1.60	NUP192	Q10XQ9	KAKSI
P47054_ALL	A0A432MM10_N	40	0.044	0.181	4.21	7.50	1.75	NUP192	A0A432MM10-N	DSSP
P47054_ALL	A0A432MM10_M	48	0.050	0.154	3.90	4.17	2.51	NUP192	A0A432MM10-M	DSSP
P47054_ALL	P38968_C	0	0.000	0.000	0.00	0.00	10.00	NUP192	SEC31	KAKSI
P47054_ALL	P48415_C	58	0.058	0.148	3.75	5.17	2.00	NUP192	SEC16	DSSP
P47054_ALL	P38164_C	34	0.030	0.056	3.35	5.88	2.00	NUP192	SEA4	KAKSI
P47054_ALL	P53622_C	68	0.061	0.117	9.93	5.88	2.35	NUP192	COPA	KAKSI
P47054_ALL	P41811_C	49	0.054	0.246	6.21	4.08	1.96	NUP192	COPBP	DSSP
P47054_ALL	P40509_ALL	62	0.065	0.217	15.80	9.68	2.34	NUP192	COPE	DSSP
P47054_ALL	P41810_ALL	170	0.132	0.183	23.31	8.24	2.48	NUP192	COPB	KAKSI
P47054_ALL	P32074_ALL	234	0.185	0.256	57.23	12.39	2.06	NUP192	COPY	DSSP
P47054_ALL	P34077_C	75	0.066	0.121	15.05	10.67	2.02	NUP192	NIC96	KAKSI
P47054_ALL	P46673_ALL	66	0.056	0.095	7.75	7.58	2.50	NUP192	NUP85	KAKSI
P47054_ALL	P35729_C	88	0.080	0.163	6.51	15.91	1.99	NUP192	NUP120	KAKSI
P47054_ALL	P49687_C	116	0.107	0.212	17.48	8.62	2.33	NUP192	NUP145	DSSP
P47054_ALL	P38181_C	61	0.050	0.075	6.47	9.84	1.61	NUP192	NUP170	DSSP
P47054_ALL	P36161_C	101	0.089	0.154	12.40	10.89	1.98	NUP192	NUP133	DSSP
P47054_ALL	P47054_ALL	1649	1.000	1.000	810.00	100.00	0.00	NUP192	NUP192	KAKSI
