qcode	tcode	eq	sr	so	bscore	seqi	rmsdp	qlabel	tlabel	ss
P34077	P48415	99	0.168	0.267	7.31	9.09	2.02	NIC96	SEC16	KAKSI
P34077	P53622	136	0.143	0.170	15.47	8.82	2.28	NIC96	A-COP	DSSP
P34077	P41811	69	0.087	0.089	9.19	7.25	2.24	NIC96	BP-COP	KAKSI
P34077	P40509	89	0.162	0.307	6.70	12.36	2.19	NIC96	E-COP	KAKSI
P34077	P41810	190	0.219	0.235	15.35	11.05	2.13	NIC96	B-COP	KAKSI
P34077	P32074	107	0.124	0.133	24.48	5.61	2.18	NIC96	Y-COP	KAKSI
P34077	P34077	807	1.000	1.000	315.00	100.00	0.00	NIC96	NIC96	KAKSI
P46673	P38968	114	0.117	0.164	15.43	13.16	2.15	NUP85	SEC31	KAKSI
P46673	Q04491	26	0.054	0.094	5.34	0.00	2.10	NUP85	SEC13	KAKSI
P46673	P48415	46	0.086	0.124	6.05	6.52	1.88	NUP85	SEC16	KAKSI
P46673	P53622	154	0.167	0.222	16.93	9.74	2.17	NUP85	A-COP	KAKSI
P46673	P41811	68	0.092	0.095	7.42	7.35	1.64	NUP85	BP-COP	DSSP
P46673	P40509	97	0.197	0.334	13.98	8.25	1.90	NUP85	E-COP	KAKSI
P46673	P41810	119	0.146	0.171	12.52	9.24	2.36	NUP85	B-COP	KAKSI
P46673	P32074	96	0.119	0.138	9.04	12.50	2.00	NUP85	Y-COP	KAKSI
P46673	P34077	168	0.224	0.242	28.19	14.29	2.07	NUP85	NIC96	KAKSI
P46673	P46673	713	1.000	1.000	306.00	100.00	0.00	NUP85	NUP85	DSSP
P35729	P38968	257	0.230	0.260	144.53	9.34	1.77	NUP120	SEC31	KAKSI
P35729	Q04491	189	0.299	0.685	120.70	11.11	2.20	NUP120	SEC13	KAKSI
P35729	P48415	80	0.116	0.216	8.23	11.25	1.97	NUP120	SEC16	DSSP
P35729	P53622	272	0.255	0.275	96.06	9.19	1.68	NUP120	A-COP	KAKSI
P35729	P41811	200	0.225	0.260	134.99	9.50	1.74	NUP120	BP-COP	DSSP
P35729	P40509	79	0.122	0.276	17.93	7.59	1.59	NUP120	E-COP	DSSP
P35729	P41810	78	0.081	0.084	8.92	11.54	2.04	NUP120	B-COP	KAKSI
P35729	P32074	105	0.109	0.115	14.94	6.67	2.15	NUP120	Y-COP	DSSP
P35729	P34077	111	0.124	0.138	33.28	8.11	1.91	NUP120	NIC96	KAKSI
P35729	P46673	107	0.124	0.150	12.81	7.48	1.98	NUP120	NUP85	DSSP
P35729	P35729	1012	1.000	1.000	576.00	100.00	0.00	NUP120	NUP120	DSSP
P49687	P38968	144	0.135	0.159	17.01	9.03	2.10	NUP145	SEC31	DSSP
P49687	Q04491	35	0.059	0.126	5.91	8.57	1.78	NUP145	SEC13	DSSP
P49687	P48415	124	0.191	0.334	13.48	11.29	2.18	NUP145	SEC16	KAKSI
P49687	P53622	169	0.163	0.182	18.44	8.88	1.58	NUP145	A-COP	KAKSI
P49687	P41811	94	0.110	0.121	12.42	10.64	1.92	NUP145	BP-COP	KAKSI
P49687	P40509	69	0.116	0.241	9.72	11.59	1.93	NUP145	E-COP	DSSP
P49687	P41810	138	0.148	0.149	15.12	7.25	2.00	NUP145	B-COP	KAKSI
P49687	P32074	61	0.066	0.066	6.58	8.20	1.87	NUP145	Y-COP	KAKSI
P49687	P34077	281	0.329	0.351	64.62	9.96	1.89	NUP145	NIC96	DSSP
P49687	P46673	159	0.196	0.229	39.47	12.58	2.10	NUP145	NUP85	KAKSI
P49687	P35729	101	0.105	0.111	13.68	7.92	1.96	NUP145	NUP120	DSSP
P49687	P49687	928	1.000	1.000	450.00	100.00	0.00	NUP145	NUP145	KAKSI
P38181	P38968	239	0.183	0.192	135.56	8.37	1.71	NUP170	SEC31	KAKSI
P38181	Q04491	170	0.204	0.612	84.49	7.65	1.96	NUP170	SEC13	DSSP
P38181	P48415	84	0.097	0.226	8.62	10.71	2.01	NUP170	SEC16	KAKSI
P38181	P53622	291	0.234	0.265	148.29	11.68	2.06	NUP170	A-COP	DSSP
P38181	P41811	332	0.308	0.432	111.11	8.43	1.91	NUP170	BP-COP	DSSP
P38181	P40509	106	0.127	0.371	18.22	11.32	2.05	NUP170	E-COP	DSSP
P38181	P41810	89	0.077	0.096	20.68	11.24	2.24	NUP170	B-COP	DSSP
P38181	P32074	100	0.087	0.109	12.32	9.00	2.30	NUP170	Y-COP	DSSP
P38181	P34077	41	0.038	0.051	2.21	9.76	2.30	NUP170	NIC96	DSSP
P38181	P46673	88	0.085	0.127	13.88	6.82	2.26	NUP170	NUP85	KAKSI
P38181	P35729	244	0.207	0.247	139.17	9.02	1.97	NUP170	NUP120	KAKSI
P38181	P49687	84	0.073	0.091	8.98	8.33	1.84	NUP170	NUP145	KAKSI
P38181	P38181	1385	1.000	1.000	657.00	100.00	0.00	NUP170	NUP170	DSSP
P36161	P38968	232	0.197	0.205	91.78	11.64	1.85	NUP133	SEC31	DSSP
P36161	Q04491	124	0.176	0.446	80.73	12.10	2.30	NUP133	SEC13	DSSP
P36161	P48415	111	0.148	0.300	9.97	5.41	1.82	NUP133	SEC16	DSSP
P36161	P53622	139	0.122	0.122	77.94	6.47	2.17	NUP133	A-COP	KAKSI
P36161	P41811	233	0.246	0.303	79.64	4.29	2.07	NUP133	BP-COP	DSSP
P36161	P40509	143	0.201	0.493	9.47	11.89	2.41	NUP133	E-COP	KAKSI
P36161	P41810	140	0.135	0.150	28.66	8.57	2.07	NUP133	B-COP	KAKSI
P36161	P32074	137	0.133	0.148	8.34	7.30	1.86	NUP133	Y-COP	KAKSI
P36161	P34077	134	0.138	0.166	8.89	8.96	2.06	NUP133	NIC96	KAKSI
P36161	P46673	125	0.136	0.175	15.24	7.20	1.89	NUP133	NUP85	DSSP
P36161	P35729	265	0.249	0.268	132.47	11.32	1.87	NUP133	NUP120	KAKSI
P36161	P49687	89	0.086	0.096	10.90	6.74	2.17	NUP133	NUP145	KAKSI
P36161	P38181	338	0.269	0.299	154.97	13.02	1.87	NUP133	NUP170	DSSP
P36161	P36161	1136	1.000	1.000	558.00	100.00	0.00	NUP133	NUP133	KAKSI
P47054	P38968	20	0.014	0.016	1.86	0.00	1.90	NUP192	SEC31	DSSP
P47054	Q04491	0	0.000	0.000	0.00	0.00	10.00	NUP192	SEC13	KAKSI
P47054	P48415	30	0.030	0.081	2.33	0.00	1.70	NUP192	SEC16	KAKSI
P47054	P53622	58	0.041	0.051	6.05	3.45	1.76	NUP192	A-COP	KAKSI
P47054	P41811	70	0.058	0.090	4.33	7.14	2.45	NUP192	BP-COP	KAKSI
P47054	P40509	62	0.065	0.217	15.80	9.68	2.34	NUP192	E-COP	DSSP
P47054	P41810	170	0.132	0.183	23.31	8.24	2.48	NUP192	B-COP	KAKSI
P47054	P32074	234	0.185	0.256	57.23	12.39	2.06	NUP192	Y-COP	DSSP
P47054	P34077	75	0.061	0.093	15.05	10.67	2.02	NUP192	NIC96	KAKSI
P47054	P46673	66	0.056	0.095	7.75	7.58	2.50	NUP192	NUP85	KAKSI
P47054	P35729	88	0.067	0.089	6.51	15.91	1.99	NUP192	NUP120	KAKSI
P47054	P49687	93	0.072	0.100	17.53	2.15	1.84	NUP192	NUP145	KAKSI
P47054	P38181	58	0.038	0.042	3.87	10.34	2.47	NUP192	NUP170	KAKSI
P47054	P36161	117	0.085	0.104	9.53	10.26	1.94	NUP192	NUP133	DSSP
P47054	P47054	1649	1.000	1.000	810.00	100.00	0.00	NUP192	NUP192	KAKSI
P52593	P38968	67	0.047	0.055	6.00	7.46	2.10	NUP188	SEC31	DSSP
P52593	Q04491	0	0.000	0.000	0.00	0.00	10.00	NUP188	SEC13	KAKSI
P52593	P48415	36	0.037	0.097	2.44	2.78	2.20	NUP188	SEC16	KAKSI
P52593	P53622	50	0.037	0.044	4.49	6.00	2.18	NUP188	A-COP	KAKSI
P52593	P41811	46	0.039	0.060	5.05	10.87	2.40	NUP188	BP-COP	DSSP
P52593	P40509	138	0.147	0.476	12.31	7.97	2.13	NUP188	E-COP	KAKSI
P52593	P41810	209	0.165	0.226	25.92	12.44	2.15	NUP188	B-COP	DSSP
P52593	P32074	257	0.205	0.278	52.12	10.51	2.19	NUP188	Y-COP	KAKSI
P52593	P34077	128	0.107	0.159	13.87	7.81	2.29	NUP188	NIC96	KAKSI
P52593	P46673	109	0.096	0.157	8.58	6.42	2.21	NUP188	NUP85	KAKSI
P52593	P35729	25	0.019	0.025	1.77	8.00	2.60	NUP188	NUP120	DSSP
P52593	P49687	79	0.063	0.085	6.70	7.59	2.31	NUP188	NUP145	KAKSI
P52593	P38181	44	0.029	0.032	3.50	18.18	2.29	NUP188	NUP170	DSSP
P52593	P36161	70	0.051	0.062	6.07	10.00	1.95	NUP188	NUP133	KAKSI
P52593	P47054	649	0.401	0.409	226.69	14.18	1.82	NUP188	NUP192	KAKSI
P52593	P52593	1603	1.000	1.000	774.00	100.00	0.00	NUP188	NUP188	DSSP
P53011	P38968	203	0.258	0.623	132.35	14.78	1.51	SEH1	SEC31	KAKSI
P53011	Q04491	248	0.816	0.892	155.49	25.40	1.30	SEH1	SEC13	DSSP
P53011	P48415	23	0.066	0.071	2.70	8.70	1.70	SEH1	SEC16	KAKSI
P53011	P53622	226	0.317	0.685	153.95	17.70	1.50	SEH1	A-COP	DSSP
P53011	P41811	203	0.367	0.623	137.10	19.70	1.89	SEH1	BP-COP	KAKSI
P53011	P40509	0	0.000	0.000	0.00	0.00	10.00	SEH1	E-COP	KAKSI
P53011	P41810	30	0.048	0.092	4.33	13.33	1.97	SEH1	B-COP	KAKSI
P53011	P32074	46	0.074	0.141	4.31	0.00	2.20	SEH1	Y-COP	KAKSI
P53011	P34077	0	0.000	0.000	0.00	0.00	10.00	SEH1	NIC96	KAKSI
P53011	P46673	26	0.051	0.080	5.09	0.00	2.20	SEH1	NUP85	KAKSI
P53011	P35729	170	0.253	0.515	101.00	13.53	2.01	SEH1	NUP120	DSSP
P53011	P49687	29	0.047	0.088	4.94	3.45	1.65	SEH1	NUP145	DSSP
P53011	P38181	185	0.216	0.561	107.47	7.57	1.98	SEH1	NUP170	DSSP
P53011	P36161	176	0.241	0.540	106.94	9.66	1.73	SEH1	NUP133	KAKSI
P53011	P47054	0	0.000	0.000	0.00	0.00	10.00	SEH1	NUP192	KAKSI
P53011	P52593	0	0.000	0.000	0.00	0.00	10.00	SEH1	NUP188	KAKSI
P53011	P53011	330	1.000	1.000	171.00	100.00	0.00	SEH1	SEH1	DSSP
P38164	P38968	302	0.273	0.304	140.54	14.57	1.80	SEA4	SEC31	DSSP
P38164	Q04491	183	0.288	0.658	127.34	11.48	1.56	SEA4	SEC13	DSSP
P38164	P48415	63	0.094	0.170	9.59	7.94	1.96	SEA4	SEC16	KAKSI
P38164	P53622	282	0.270	0.284	119.13	11.35	2.05	SEA4	A-COP	DSSP
P38164	P41811	306	0.348	0.398	155.31	14.05	1.63	SEA4	BP-COP	DSSP
P38164	P40509	57	0.089	0.199	9.73	8.77	2.30	SEA4	E-COP	DSSP
P38164	P41810	96	0.101	0.103	10.09	9.38	1.98	SEA4	B-COP	KAKSI
P38164	P32074	80	0.084	0.087	17.80	12.50	1.79	SEA4	Y-COP	KAKSI
P38164	P34077	77	0.086	0.096	6.99	12.99	1.77	SEA4	NIC96	DSSP
P38164	P46673	145	0.174	0.209	12.17	8.28	1.79	SEA4	NUP85	KAKSI
P38164	P35729	230	0.235	0.237	128.22	9.57	2.11	SEA4	NUP120	KAKSI
P38164	P49687	97	0.102	0.107	18.09	7.22	2.02	SEA4	NUP145	DSSP
P38164	P38181	225	0.193	0.232	107.94	8.44	1.96	SEA4	NUP170	KAKSI
P38164	P36161	271	0.255	0.273	129.98	10.33	2.05	SEA4	NUP133	DSSP
P38164	P47054	36	0.027	0.037	3.35	5.56	2.10	SEA4	NUP192	KAKSI
P38164	P52593	0	0.000	0.000	0.00	0.00	10.00	SEA4	NUP188	KAKSI
P38164	P53011	181	0.274	0.548	83.83	9.94	1.64	SEA4	SEH1	DSSP
P38164	P38164	992	1.000	1.000	477.00	100.00	0.00	SEA4	SEA4	DSSP
Q9UG01	P38968	324	0.223	0.265	164.10	13.58	2.06	IFT172	SEC31	DSSP
Q9UG01	Q04491	205	0.208	0.737	133.27	12.68	1.71	IFT172	SEC13	DSSP
Q9UG01	P48415	86	0.084	0.232	7.28	4.65	2.37	IFT172	SEC16	DSSP
Q9UG01	P53622	616	0.433	0.537	322.22	12.50	2.00	IFT172	A-COP	KAKSI
Q9UG01	P41811	492	0.397	0.632	271.45	14.23	1.83	IFT172	BP-COP	KAKSI
Q9UG01	P40509	138	0.140	0.483	18.41	14.49	1.97	IFT172	E-COP	DSSP
Q9UG01	P41810	153	0.117	0.166	30.61	7.84	2.28	IFT172	B-COP	DSSP
Q9UG01	P32074	142	0.109	0.155	17.06	7.75	2.17	IFT172	Y-COP	DSSP
Q9UG01	P34077	119	0.096	0.149	10.53	13.45	1.95	IFT172	NIC96	DSSP
Q9UG01	P46673	196	0.163	0.275	22.76	9.69	2.02	IFT172	NUP85	DSSP
Q9UG01	P35729	292	0.217	0.295	160.73	9.25	2.19	IFT172	NUP120	KAKSI
Q9UG01	P49687	103	0.079	0.114	11.64	12.62	1.82	IFT172	NUP145	DSSP
Q9UG01	P38181	298	0.194	0.215	135.88	10.74	1.79	IFT172	NUP170	DSSP
Q9UG01	P36161	244	0.173	0.216	66.85	8.61	2.02	IFT172	NUP133	DSSP
Q9UG01	P47054	73	0.044	0.045	9.31	16.44	2.30	IFT172	NUP192	DSSP
Q9UG01	P52593	93	0.057	0.058	6.67	6.45	2.10	IFT172	NUP188	DSSP
Q9UG01	P53011	200	0.198	0.613	116.76	13.50	1.86	IFT172	SEH1	KAKSI
Q9UG01	P38164	331	0.248	0.341	158.90	10.88	1.80	IFT172	SEA4	KAKSI
Q9UG01	Q9UG01	1697	1.000	1.000	1125.00	100.00	0.00	IFT172	IFT172	KAKSI
Q9P2H3	P38968	258	0.258	0.344	170.79	17.44	1.63	IFT180	SEC31	KAKSI
Q9P2H3	Q04491	207	0.404	0.750	109.39	18.36	1.68	IFT180	SEC13	KAKSI
Q9P2H3	P48415	67	0.121	0.181	7.66	14.93	2.07	IFT180	SEC16	DSSP
Q9P2H3	P53622	453	0.478	0.605	272.96	13.47	1.91	IFT180	A-COP	KAKSI
Q9P2H3	P41811	472	0.618	0.630	277.40	13.56	1.75	IFT180	BP-COP	KAKSI
Q9P2H3	P40509	37	0.071	0.128	4.65	18.92	1.90	IFT180	E-COP	KAKSI
Q9P2H3	P41810	37	0.044	0.049	4.93	5.41	1.98	IFT180	B-COP	KAKSI
Q9P2H3	P32074	22	0.026	0.029	2.03	4.55	1.60	IFT180	Y-COP	KAKSI
Q9P2H3	P34077	68	0.087	0.091	10.49	11.76	2.19	IFT180	NIC96	KAKSI
Q9P2H3	P46673	73	0.100	0.102	6.98	12.33	2.05	IFT180	NUP85	DSSP
Q9P2H3	P35729	236	0.272	0.315	157.35	9.32	2.03	IFT180	NUP120	KAKSI
Q9P2H3	P49687	54	0.066	0.073	7.41	12.96	1.58	IFT180	NUP145	DSSP
Q9P2H3	P38181	222	0.210	0.296	157.18	9.01	2.04	IFT180	NUP170	KAKSI
Q9P2H3	P36161	250	0.265	0.334	138.37	7.60	2.18	IFT180	NUP133	KAKSI
Q9P2H3	P47054	0	0.000	0.000	0.00	0.00	10.00	IFT180	NUP192	KAKSI
Q9P2H3	P52593	0	0.000	0.000	0.00	0.00	10.00	IFT180	NUP188	KAKSI
Q9P2H3	P53011	208	0.389	0.630	143.49	19.71	1.36	IFT180	SEH1	DSSP
Q9P2H3	P38164	273	0.315	0.369	114.12	10.26	2.14	IFT180	SEA4	DSSP
Q9P2H3	Q9UG01	547	0.447	0.730	345.02	15.36	1.62	IFT180	IFT172	KAKSI
Q9P2H3	Q9P2H3	749	1.000	1.000	594.00	100.00	0.00	IFT180	IFT180	KAKSI
Q96RY7	P38968	383	0.291	0.307	131.74	12.27	1.73	IFT140	SEC31	KAKSI
Q96RY7	Q04491	190	0.229	0.688	107.44	14.21	2.09	IFT140	SEC13	KAKSI
Q96RY7	P48415	165	0.189	0.446	17.34	9.09	1.97	IFT140	SEC16	DSSP
Q96RY7	P53622	570	0.450	0.497	300.30	11.75	1.88	IFT140	A-COP	KAKSI
Q96RY7	P41811	536	0.496	0.688	311.16	12.50	1.70	IFT140	BP-COP	KAKSI
Q96RY7	P40509	99	0.118	0.341	17.62	6.06	2.29	IFT140	E-COP	KAKSI
Q96RY7	P41810	138	0.119	0.148	44.46	4.35	2.43	IFT140	B-COP	KAKSI
Q96RY7	P32074	157	0.137	0.172	31.62	6.37	2.40	IFT140	Y-COP	DSSP
Q96RY7	P34077	143	0.131	0.179	16.61	10.49	1.83	IFT140	NIC96	DSSP
Q96RY7	P46673	140	0.134	0.196	17.92	8.57	2.03	IFT140	NUP85	DSSP
Q96RY7	P35729	305	0.257	0.308	126.62	9.84	2.25	IFT140	NUP120	KAKSI
Q96RY7	P49687	111	0.097	0.123	13.81	12.61	1.60	IFT140	NUP145	DSSP
Q96RY7	P38181	239	0.173	0.174	128.74	5.86	1.86	IFT140	NUP170	DSSP
Q96RY7	P36161	301	0.240	0.266	81.73	11.96	1.99	IFT140	NUP133	DSSP
Q96RY7	P47054	99	0.065	0.072	33.66	9.09	2.29	IFT140	NUP192	KAKSI
Q96RY7	P52593	130	0.087	0.094	14.17	6.92	1.91	IFT140	NUP188	DSSP
Q96RY7	P53011	192	0.225	0.589	97.07	16.15	1.85	IFT140	SEH1	KAKSI
Q96RY7	P38164	257	0.218	0.265	103.68	15.56	1.97	IFT140	SEA4	KAKSI
Q96RY7	Q9UG01	691	0.449	0.499	295.13	17.37	1.75	IFT140	IFT172	KAKSI
Q96RY7	Q9P2H3	514	0.486	0.695	336.24	13.04	1.77	IFT140	IFT180	DSSP
Q96RY7	Q96RY7	1384	1.000	1.000	936.00	100.00	0.00	IFT140	IFT140	KAKSI
Q9HBG6	P38968	307	0.254	0.258	169.58	14.98	1.60	IFT122	SEC31	DSSP
Q9HBG6	Q04491	214	0.291	0.770	143.84	20.09	1.37	IFT122	SEC13	DSSP
Q9HBG6	P48415	132	0.168	0.356	15.53	9.85	1.99	IFT122	SEC16	KAKSI
Q9HBG6	P53622	601	0.525	0.547	348.39	13.48	1.86	IFT122	A-COP	DSSP
Q9HBG6	P41811	520	0.527	0.668	311.44	12.88	1.75	IFT122	BP-COP	KAKSI
Q9HBG6	P40509	106	0.143	0.371	10.57	5.66	1.56	IFT122	E-COP	DSSP
Q9HBG6	P41810	147	0.139	0.159	24.84	6.12	1.90	IFT122	B-COP	DSSP
Q9HBG6	P32074	136	0.128	0.147	17.59	6.62	2.27	IFT122	Y-COP	KAKSI
Q9HBG6	P34077	154	0.155	0.192	40.22	11.04	1.76	IFT122	NIC96	DSSP
Q9HBG6	P46673	118	0.124	0.165	9.08	5.08	1.70	IFT122	NUP85	DSSP
Q9HBG6	P35729	249	0.228	0.252	116.48	9.64	1.92	IFT122	NUP120	KAKSI
Q9HBG6	P49687	173	0.163	0.186	39.23	12.14	2.03	IFT122	NUP145	KAKSI
Q9HBG6	P38181	173	0.135	0.145	80.28	12.72	1.61	IFT122	NUP170	KAKSI
Q9HBG6	P36161	222	0.191	0.196	80.53	9.01	1.73	IFT122	NUP133	DSSP
Q9HBG6	P47054	28	0.020	0.023	4.16	7.14	2.30	IFT122	NUP192	KAKSI
Q9HBG6	P52593	64	0.046	0.054	6.60	6.25	2.21	IFT122	NUP188	DSSP
Q9HBG6	P53011	215	0.283	0.652	144.48	19.53	1.32	IFT122	SEH1	DSSP
Q9HBG6	P38164	303	0.277	0.305	166.33	9.90	1.72	IFT122	SEA4	DSSP
Q9HBG6	Q9UG01	687	0.475	0.574	381.34	14.12	1.84	IFT122	IFT172	KAKSI
Q9HBG6	Q9P2H3	517	0.532	0.690	343.30	15.47	1.92	IFT122	IFT180	KAKSI
Q9HBG6	Q96RY7	644	0.501	0.540	330.34	14.60	1.66	IFT122	IFT140	DSSP
Q9HBG6	Q9HBG6	1196	1.000	1.000	819.00	100.00	0.00	IFT122	IFT122	KAKSI
Q8NEZ3	P38968	339	0.269	0.278	150.63	11.21	1.81	WDR19	SEC31	DSSP
Q8NEZ3	Q04491	164	0.208	0.590	94.23	9.15	1.87	WDR19	SEC13	DSSP
Q8NEZ3	P48415	91	0.109	0.245	9.60	14.29	2.08	WDR19	SEC16	KAKSI
Q8NEZ3	P53622	617	0.506	0.538	314.74	10.05	1.88	WDR19	A-COP	KAKSI
Q8NEZ3	P41811	520	0.504	0.677	311.90	13.65	1.80	WDR19	BP-COP	DSSP
Q8NEZ3	P40509	117	0.148	0.409	17.70	8.55	2.09	WDR19	E-COP	DSSP
Q8NEZ3	P41810	177	0.159	0.190	46.51	6.78	2.18	WDR19	B-COP	KAKSI
Q8NEZ3	P32074	143	0.129	0.156	38.62	10.49	2.38	WDR19	Y-COP	DSSP
Q8NEZ3	P34077	146	0.139	0.182	14.60	8.90	1.96	WDR19	NIC96	DSSP
Q8NEZ3	P46673	167	0.168	0.241	23.13	8.98	2.37	WDR19	NUP85	KAKSI
Q8NEZ3	P35729	274	0.237	0.271	115.20	9.12	2.17	WDR19	NUP120	DSSP
Q8NEZ3	P49687	142	0.128	0.153	13.11	3.52	1.96	WDR19	NUP145	KAKSI
Q8NEZ3	P38181	272	0.205	0.210	103.84	8.09	1.95	WDR19	NUP170	KAKSI
Q8NEZ3	P36161	268	0.221	0.237	113.24	9.70	2.06	WDR19	NUP133	DSSP
Q8NEZ3	P47054	84	0.057	0.065	9.06	5.95	2.41	WDR19	NUP192	KAKSI
Q8NEZ3	P52593	88	0.061	0.068	10.64	10.23	2.11	WDR19	NUP188	KAKSI
Q8NEZ3	P53011	181	0.223	0.548	110.38	12.71	1.65	WDR19	SEH1	DSSP
Q8NEZ3	P38164	267	0.233	0.269	143.53	9.74	1.77	WDR19	SEA4	DSSP
Q8NEZ3	Q9UG01	713	0.478	0.550	313.67	17.25	1.93	WDR19	IFT172	DSSP
Q8NEZ3	Q9P2H3	510	0.499	0.681	334.41	17.65	1.78	WDR19	IFT180	KAKSI
Q8NEZ3	Q96RY7	843	0.630	0.651	497.79	15.90	1.97	WDR19	IFT140	KAKSI
Q8NEZ3	Q9HBG6	729	0.586	0.610	354.08	14.13	1.76	WDR19	IFT122	KAKSI
Q8NEZ3	Q8NEZ3	1296	1.000	1.000	909.00	100.00	0.00	WDR19	WDR19	DSSP
Q9P2L0	P38968	319	0.266	0.277	132.79	10.03	1.68	WDR35	SEC31	KAKSI
Q9P2L0	Q04491	211	0.296	0.764	136.54	16.59	2.06	WDR35	SEC13	KAKSI
Q9P2L0	P48415	114	0.150	0.307	11.78	10.53	2.28	WDR35	SEC16	KAKSI
Q9P2L0	P53622	515	0.448	0.449	292.26	8.54	1.92	WDR35	A-COP	KAKSI
Q9P2L0	P41811	506	0.524	0.650	316.84	11.26	1.92	WDR35	BP-COP	KAKSI
Q9P2L0	P40509	85	0.120	0.297	13.57	16.47	2.09	WDR35	E-COP	DSSP
Q9P2L0	P41810	166	0.159	0.178	24.84	13.86	2.28	WDR35	B-COP	KAKSI
Q9P2L0	P32074	129	0.126	0.141	25.05	13.18	2.18	WDR35	Y-COP	DSSP
Q9P2L0	P34077	95	0.097	0.118	13.22	15.79	1.50	WDR35	NIC96	KAKSI
Q9P2L0	P46673	209	0.227	0.301	26.83	7.66	1.93	WDR35	NUP85	KAKSI
Q9P2L0	P35729	277	0.259	0.280	104.97	10.83	1.94	WDR35	NUP120	KAKSI
Q9P2L0	P49687	169	0.163	0.182	18.54	11.83	1.78	WDR35	NUP145	KAKSI
Q9P2L0	P38181	271	0.216	0.241	128.12	11.07	1.91	WDR35	NUP170	DSSP
Q9P2L0	P36161	284	0.252	0.252	117.52	10.56	1.96	WDR35	NUP133	DSSP
Q9P2L0	P47054	70	0.050	0.061	11.62	2.86	2.42	WDR35	NUP192	KAKSI
