	SEC31	SEC13	SEC16	A-COP	BP-COP	E-COP	B-COP	Y-COP	NIC96	NUP85	NUP120	NUP145	NUP170	NUP133	NUP192	NUP188	SEH1	SEA4	IFT172	IFT180	IFT140	IFT122	WDR19	WDR35	VPS41	VPS39	VPS18	VPS11	VPS16	VPS8	VPS3	CHC	AP1_beta	AP1_gamma	importin_beta	importin_alpha	F5YE54	A0A142YCA6	A0A432MM10	A0A225EB47	B9XCU2	A0A225E1Q9	A0A1U7CV43	A0A368KJ79	L0DKB6	Q10XQ9
IFT122	0.742	0.709	0.968	0.565	0.556	0.977	0.962	0.973	0.929	0.984	0.833	0.938	0.891	0.883	0.995	0.992	0.708	0.743	0.608	0.514	0.624	0.0	0.59	0.565	0.829	0.754	0.719	0.799	0.78	0.806	0.81	0.894	0.975	0.98	0.98	0.987	0.766	0.717	0.744	0.871	0.828	0.855	0.831	0.829	0.888	0.821
WDR19	0.785	0.826	0.982	0.628	0.582	0.965	0.933	0.945	0.976	0.962	0.845	0.981	0.867	0.846	0.989	0.987	0.796	0.793	0.692	0.555	0.46	0.59	0.0	0.611	0.824	0.889	0.738	0.82	0.783	0.837	0.882	0.872	0.964	0.943	0.968	0.983	0.788	0.704	0.733	0.934	0.861	0.875	0.885	0.913	0.842	0.799
WDR35	0.798	0.724	0.976	0.635	0.549	0.971	0.962	0.962	0.977	0.952	0.85	0.971	0.826	0.829	0.986	0.985	0.788	0.766	0.691	0.534	0.665	0.565	0.611	0.0	0.747	0.794	0.807	0.775	0.845	0.876	0.82	0.9	0.974	0.973	0.964	0.981	0.815	0.732	0.744	0.9	0.868	0.877	0.851	0.829	0.907	0.856
VPS41	0.716	0.633	0.957	0.747	0.69	0.955	0.947	0.93	0.979	0.972	0.704	0.947	0.765	0.748	0.983	0.984	0.633	0.718	0.809	0.706	0.805	0.829	0.824	0.747	0.0	0.704	0.8	0.632	0.715	0.676	0.821	0.772	0.959	0.943	0.932	0.97	0.608	0.744	0.787	0.846	0.764	0.826	0.788	0.832	0.843	0.845
VPS39	0.753	0.788	0.948	0.785	0.774	0.97	0.969	0.935	0.942	0.967	0.821	0.954	0.864	0.829	0.993	0.97	0.702	0.793	0.877	0.77	0.813	0.754	0.889	0.794	0.704	0.0	0.806	0.669	0.712	0.742	0.751	0.83	0.939	0.958	0.971	0.995	0.784	0.778	0.819	0.824	0.828	0.837	0.852	0.801	0.906	0.863
VPS18	0.804	0.74	0.978	0.871	0.699	0.945	0.957	0.953	0.93	0.969	0.703	0.968	0.827	0.814	0.987	0.989	0.635	0.747	0.875	0.708	0.816	0.719	0.738	0.807	0.8	0.806	0.0	0.642	0.64	0.697	0.584	0.763	0.938	0.895	0.914	0.987	0.703	0.74	0.842	0.79	0.78	0.854	0.848	0.789	0.864	0.916
VPS11	0.729	0.663	0.967	0.746	0.686	0.922	0.952	0.955	0.957	0.96	0.706	0.944	0.715	0.8	0.984	0.99	0.651	0.697	0.845	0.695	0.806	0.799	0.82	0.775	0.632	0.669	0.642	0.0	0.797	0.659	0.627	0.802	0.937	0.93	0.961	0.957	0.713	0.776	0.805	0.931	0.802	0.873	0.881	0.814	0.861	0.839
VPS16	0.715	0.74	0.952	0.796	0.828	0.95	0.972	0.968	0.979	0.971	0.702	0.984	0.714	0.702	0.986	0.993	0.656	0.839	0.835	0.753	0.832	0.78	0.783	0.845	0.715	0.712	0.64	0.797	0.0	0.751	0.777	0.753	0.959	0.977	0.974	0.989	0.613	0.746	0.871	0.856	0.825	0.901	0.886	0.794	0.878	0.82
VPS8	0.814	0.726	0.978	0.782	0.744	0.972	0.916	0.944	0.941	0.972	0.768	0.975	0.724	0.766	0.989	0.969	0.703	0.842	0.863	0.777	0.818	0.806	0.837	0.876	0.676	0.742	0.697	0.659	0.751	0.0	0.723	0.8	0.953	0.943	0.947	0.973	0.708	0.786	0.906	0.826	0.806	0.854	0.836	0.81	0.869	0.847
VPS3	0.821	0.696	0.974	0.882	0.731	0.976	0.969	0.993	0.975	0.96	0.833	0.963	0.895	0.859	0.994	0.983	0.688	0.743	0.819	0.753	0.863	0.81	0.882	0.82	0.821	0.751	0.584	0.627	0.777	0.723	0.0	0.8	0.99	0.973	0.985	0.98	0.817	0.748	0.913	0.921	0.838	0.906	0.839	0.865	0.87	0.818
CHC	0.859	0.886	0.973	0.906	0.878	0.974	0.951	0.958	0.985	0.971	0.852	0.966	0.903	0.809	0.978	0.974	0.848	0.834	0.826	0.866	0.864	0.894	0.872	0.9	0.772	0.83	0.763	0.802	0.753	0.8	0.8	0.0	0.956	0.962	0.957	0.974	0.843	0.835	0.879	0.901	0.884	0.863	0.874	0.889	0.918	0.942
AP1_beta	0.984	1.0	0.983	0.981	0.973	0.902	0.856	0.807	0.97	0.964	0.984	0.977	0.975	0.963	0.947	0.911	1.0	0.975	0.972	0.979	0.953	0.975	0.964	0.974	0.959	0.939	0.938	0.937	0.959	0.953	0.99	0.956	0.0	0.751	0.803	0.781	0.98	0.974	0.966	0.912	0.908	0.847	0.911	0.927	0.944	0.978
AP1_gamma	0.99	0.991	0.964	0.955	0.974	0.935	0.688	0.717	0.948	0.958	0.974	0.976	0.972	0.96	0.904	0.927	1.0	0.97	0.952	1.0	0.92	0.98	0.943	0.973	0.943	0.958	0.895	0.93	0.977	0.943	0.973	0.962	0.751	0.0	0.821	0.777	0.967	0.961	0.963	0.934	0.952	0.91	0.92	0.93	0.938	0.986
importin_beta	0.968	1.0	0.954	0.968	0.968	0.922	0.832	0.888	0.979	0.955	0.977	0.984	0.978	0.973	0.912	0.901	1.0	0.985	0.969	0.98	0.963	0.98	0.968	0.964	0.932	0.971	0.914	0.961	0.974	0.947	0.985	0.957	0.803	0.821	0.0	0.863	0.966	0.983	0.964	0.918	0.901	0.903	0.878	0.934	0.93	0.99
importin_alpha	0.986	1.0	0.969	0.985	0.983	0.862	0.943	0.804	0.97	0.993	0.986	0.961	0.985	0.99	0.829	0.895	1.0	0.985	0.976	0.994	0.975	0.987	0.983	0.981	0.97	0.995	0.987	0.957	0.989	0.973	0.98	0.974	0.781	0.777	0.863	0.0	0.944	0.964	0.984	0.949	0.941	0.931	0.917	0.913	0.98	0.975
F5YE54	0.669	0.618	0.982	0.737	0.755	0.937	0.97	0.98	0.989	0.976	0.644	0.989	0.727	0.691	0.986	0.978	0.546	0.765	0.811	0.753	0.823	0.766	0.788	0.815	0.608	0.784	0.703	0.713	0.613	0.708	0.817	0.843	0.98	0.967	0.966	0.944	0.0	0.5	0.727	0.861	0.812	0.81	0.834	0.772	0.85	0.754
A0A142YCA6	0.694	0.803	0.959	0.778	0.664	0.952	0.974	0.98	0.977	0.975	0.838	0.978	0.811	0.731	0.996	0.997	0.626	0.664	0.777	0.741	0.736	0.717	0.704	0.732	0.744	0.778	0.74	0.776	0.746	0.786	0.748	0.835	0.974	0.961	0.983	0.964	0.5	0.0	0.763	0.857	0.854	0.888	0.837	0.808	0.833	0.769
A0A432MM10	0.778	0.831	0.987	0.745	0.73	0.957	0.964	0.948	0.985	0.984	0.786	0.98	0.828	0.846	0.995	0.995	0.84	0.805	0.84	0.698	0.752	0.744	0.733	0.744	0.787	0.819	0.842	0.805	0.871	0.906	0.913	0.879	0.966	0.963	0.964	0.984	0.727	0.763	0.0	0.933	0.865	0.875	0.883	0.895	0.869	0.822
A0A225EB47	0.838	0.733	0.965	0.858	0.827	0.956	0.916	0.902	0.98	0.964	0.846	0.967	0.926	0.83	0.971	0.962	0.877	0.828	0.87	0.832	0.858	0.871	0.934	0.9	0.846	0.824	0.79	0.931	0.856	0.826	0.921	0.901	0.912	0.934	0.918	0.949	0.861	0.857	0.933	0.0	0.46	0.462	0.65	0.592	0.63	0.878
B9XCU2	0.817	0.668	0.978	0.826	0.884	0.952	0.897	0.92	0.976	0.961	0.813	0.979	0.852	0.825	0.979	0.968	0.653	0.794	0.852	0.814	0.91	0.828	0.861	0.868	0.764	0.828	0.78	0.802	0.825	0.806	0.838	0.884	0.908	0.952	0.901	0.941	0.812	0.854	0.865	0.46	0.0	0.579	0.502	0.655	0.528	0.874
A0A225E1Q9	0.876	0.747	0.982	0.845	0.811	0.983	0.937	0.844	0.981	0.959	0.866	0.97	0.843	0.912	0.947	0.96	0.819	0.786	0.849	0.805	0.886	0.855	0.875	0.877	0.826	0.837	0.854	0.873	0.901	0.854	0.906	0.863	0.847	0.91	0.903	0.931	0.81	0.888	0.875	0.462	0.579	0.0	0.497	0.589	0.712	0.871
A0A1U7CV43	0.86	0.691	0.97	0.853	0.921	0.941	0.941	0.867	0.978	0.961	0.814	0.967	0.835	0.884	0.939	0.982	0.684	0.82	0.868	0.832	0.841	0.831	0.885	0.851	0.788	0.852	0.848	0.881	0.886	0.836	0.839	0.874	0.911	0.92	0.878	0.917	0.834	0.837	0.883	0.65	0.502	0.497	0.0	0.659	0.726	0.872
A0A368KJ79	0.77	0.712	0.983	0.867	0.811	0.947	0.948	0.881	0.984	0.971	0.855	0.974	0.835	0.82	0.951	0.978	0.699	0.779	0.862	0.806	0.853	0.829	0.913	0.829	0.832	0.801	0.789	0.814	0.794	0.81	0.865	0.889	0.927	0.93	0.934	0.913	0.772	0.808	0.895	0.592	0.655	0.589	0.659	0.0	0.766	0.862
L0DKB6	0.836	0.797	0.989	0.811	0.832	0.974	0.948	0.932	0.985	0.986	0.854	0.983	0.868	0.897	0.985	0.969	0.789	0.883	0.924	0.873	0.829	0.888	0.842	0.907	0.843	0.906	0.864	0.861	0.878	0.869	0.87	0.918	0.944	0.938	0.93	0.98	0.85	0.833	0.869	0.63	0.528	0.712	0.726	0.766	0.0	0.879
Q10XQ9	0.758	0.744	0.989	0.795	0.76	0.986	0.973	0.979	0.99	0.988	0.836	0.98	0.824	0.835	0.992	0.997	0.784	0.848	0.881	0.829	0.823	0.821	0.799	0.856	0.845	0.863	0.916	0.839	0.82	0.847	0.818	0.942	0.978	0.986	0.99	0.975	0.754	0.769	0.822	0.878	0.874	0.871	0.872	0.862	0.879	0.0
